id_nhs,nhs_region,culture,id_glottolog,id_ea,id_binford,id_hraf,id_sccs,id_chirila,id_wnai,id_dplace,id_ea_exact,id_binford_exact,id_chirila_exact,id_wnai_exact,id_notes
NHS-C042,NHS-R02,Ojibwa,ojib1241,Ne13|Na35|Na36|Na38|Na39,B254|B327|B328|B335|B337|B339,NG06,.,.,,1,0,0,.,.,Combines several D-PLACE entries
NHS-C022,NHS-R28,Ona,onaa1245,Sg3,B54,SH04,.,.,,1,1,1,.,.,.
NHS-C065,NHS-R07,Otavalo Quichua,imba1240,.,.,SD16,.,.,,0,.,.,.,.,.
NHS-C070,NHS-R21,Pawnee,pawn1254,Nf6,B189,NQ18,.,.,,1,1,1,.,.,.
NHS-C113,NHS-R25,Phunoi,phun1245,.,.,.,.,.,,0,.,.,.,.,.
NHS-C094,NHS-R07,Q'ero Quichua,cusc1236,.,.,.,.,.,,0,.,.,.,.,There is a D-PLACE entry (and EA and HRAF entries) for the Cusco Quechuas (Incas); societies matches languages but refers to the Incan empire at the time of contact
NHS-C015,NHS-R29,Quechan,quec1382,Nh22,.,.,.,.,J141,1,1,.,.,1,.
NHS-C045,NHS-R05,Rwandans,kiny1244,Ae10,.,FO57,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C007,NHS-R23,Saami,lule1254,Cg4,.,EP04,52,.,,1,1,.,.,.,.
NHS-C047,NHS-R22,Samoans,samo1305,Ii14,.,OU08,106,.,,1,1,.,.,.,.
NHS-C083,NHS-R24,Santal,sant1410,Ef1,.,AW42,62,.,,1,1,.,.,.,.
NHS-C009,NHS-R01,Saramaka,sara1340,Sc6,.,SR15,165,.,,1,1,.,.,.,.
NHS-C023,NHS-R26,Serbs,serb1264,Ch1,.,EF06,.,.,,1,1,.,.,.,.
NHS-C103,NHS-R18,Seri,seri1257,Ni4,BI43,NU31,.,.,,1,1,1,.,.,.
NHS-C088,NHS-R17,Shluh,susi1238,Cd5,.,MW11,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C050,NHS-R24,Sinhalese,sinh1246,Eh6,.,AX04,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C056,NHS-R09,Somali,nort3051,Ca2,.,MO04,36,.,,1,1,.,.,.,.
NHS-C090,NHS-R23,Sweden,swed1254,.,.,.,.,.,,0,.,.,.,.,.
NHS-C087,NHS-R08,Taiwan Hokkien,minn1241,.,.,AD05,.,.,,0,.,.,.,.,.
NHS-C086,NHS-R18,Tarahumara,cent2131,Ni1,.,NU33,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C102,NHS-R24,Thakali,thank1245,.,.,.,.,.,,0,.,.,.,.,.
NHS-C014,NHS-R22,Tikopia,tiko1237,Ii2,.,OT11,100,.,,1,1,.,.,.,.
NHS-C073,NHS-R30,Tiv,tivv1240,Ah3,.,FF57,16,.,,1,1,.,.,.,.
NHS-C080,NHS-R19,Tlingit,tlin1245,Nb22,B292,NA12,.,.,J2,1,1,1,.,1,.
NHS-C006,NHS-R13,Trobriands,kili1267,Ig2,.,OL06,98,.,,1,1,.,.,.,.
NHS-C104,NHS-R17,Tuareg,tuar1240,Cc5|Cc9|Cc10|Cc13,.,MS25,41,.,,1,0,.,.,.,Combines several D-PLACE entries
NHS-C115,NHS-R01,Tukano,tuca1252,Se12,.,SQ19,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C025,NHS-R17,Tunisians,tuni1260,Cd21,.,.,.,.,,1,1,.,.,.,The song we have is sung by the descendants of sub-Saharan slaves
NHS-C117,NHS-R15,Turkmen,turk1304,Eb5,.,.,.,.,,1,1,.,.,.,.
NHS-C055,NHS-R12,Tzeltal,tzel1254,Sa2,.,NV09,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C013,NHS-R24,Uttar Pradesh,bhoj1244,Ef11,.,AW19,63,.,,1,1,.,.,.,.
NHS-C105,NHS-R03,Walbiri,warl1254,Id10,B109,.,.,192,,1,1,1,1,.,.
NHS-C048,NHS-R30,Wolof,nucl1347,Cb2,.,MS30,21,.,,1,1,.,.,.,.
NHS-C100,NHS-R16,Yakut,yaku1245,Ec2,.,RV02,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
NHS-C116,NHS-R01,Yanoama,yano1261,Sd9,.,SQ18,163,.,,1,1,.,.,.,.
NHS-C096,NHS-R14,Yapese,yape1248,If6,.,OR22,110,.,,1,1,.,.,.,.
NHS-C089,NHS-R18,Yaqui,yaqu1251,Ni7,.,.,.,.,,1,1,.,.,.,.
NHS-C051,NHS-R01,Ye'kuana,maqu1238,Sc16,.,.,.,.,,1,1,.,.,.,.
NHS-C109,NHS-R03,Yolngu,yuul1239,Id2,B88,OI17,.,1093,,0,1,1,1,.,Binford Atlas and CHIRILA entries refer to a sub-group of the Yolngu
NHS-C054,NHS-R27,Zulu,zulu1248,Ab12,.,FX20,.,.,,1,1,.,.,.,D-PLACE entry does not include HRAF code
