indx,trigger1,trigger2,trigger3,context1,context2,context3,function1,function2,function3,content1,content2,content3,content4,time_start,time_end,duration,recur,singers_n,singers_age1,singers_age2,shape_type,appear_paint,appear_adorn,appear_cloth,appear_mask,appear_obj,restrict_sex,restrict_marry,restrict_grp1,restrict_grp2,audience_n,audience_age1,audience_age2,audience_sex,audience_marry,audience_grp1,audience_grp2,instrument_type1,instrument_type2,instrument_type3
56,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,"Kin groups (clans, tribes, nation)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Female,.,.,.,.,.,.,.,.,.,.,.,.,.
57,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,Infancy and childhood,"Family (includes nuclear family, polygamy, adoption)","Status, role, and prestige",.,.,.,.,.,.,.,.,.,.,.,.,.,.,Female,.,.,.,.,.,.,.,.,.,.,.,.,.
58,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Female,.,.,.,.,.,.,.,.,.,.,.,.,.
59,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,Human Biology,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Female,.,.,.,.,.,.,.,.,.,.,.,.,.
60,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,"Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Female,.,.,.,.,.,.,.,.,.,.,.,.,.
61,.,.,.,.,.,.,.,.,.,"Family (includes nuclear family, polygamy, adoption)","Status, role, and prestige",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
62,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,Traditional history,.,.,"Kin groups (clans, tribes, nation)",.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
63,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,Traditional history,Drives and emotions,"Death (burials, funerals, mourning)","Death (burials, funerals, mourning)","Kin groups (clans, tribes, nation)","Family (includes nuclear family, polygamy, adoption)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
64,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",.,.,.,.,.,.,2-5 singers,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
65,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",.,.,.,.,.,.,2-5 singers,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
66,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,Drives and emotions,.,.,"Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
67,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,Drives and emotions,.,.,"Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
68,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)","Family (includes nuclear family, polygamy, adoption)",.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
69,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
70,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
71,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
72,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
73,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
74,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Status, role, and prestige",Animal husbandry,"Kin groups (clans, tribes, nation)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
75,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,Drives and emotions,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Death (burials, funerals, mourning)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
