"dim","culture","mean.est","mean.cilo","mean.cihi","mean.pval","sd.est","sd.cilo","sd.cihi","distr.lo","distr.hi","other.culture.mean","other.nhs.region.mean","other.glotto.mean","other.world.mean","other.hraf.region.mean","other.hraf.subregion.mean","other.hraf.subsistence.mean","nhs_region","hraf_region","hraf_subregion","hraf_subsistence","ncites","npassages"
"q.1","NHS-C016",-0.0951328714329832,-0.411786579377904,0.215517078356955,0.560583333333333,0.739092025108247,0.561167720768822,0.918082844485158,-1.60117520208363,1.38565030612089,0.0008102544999687,-0.00203323600940765,-0.000122669456923708,-0.14708422177177,-0.0434365713739902,-0.00203323600940765,-0.00911829980841171,"NHS-R16","Asia","North Asia","pastoralists",7,46
"q.1","NHS-C017",0.10289442969027,-0.294661848381161,0.49291824207131,0.600416666666667,0.919066394112394,0.677235095773066,1.13241995986763,-1.49401049085123,2.36746381982647,-0.000743860695686289,0.000998485828643168,0.0129036534235062,-0.14708422177177,-0.0413319879785965,0.000998485828643168,-0.0933953576316179,"NHS-R09","Africa","Eastern Africa","intensive agriculturalists",12,30
"q.1","NHS-C022",-0.174081093219237,-0.388683875860944,0.036095240164951,0.104833333333333,0.578054472570873,0.471069497714598,0.690089238292037,-1.27965770070054,1.01671383619236,0.00327779677687592,0.00647476429952517,0.00239281539453003,0.178290399062287,0.0283793752392557,0.00647476429952517,0.0402660362135013,"NHS-R28","South America","Southern South America","hunter-gatherers",4,89
"q.1","NHS-C023",0.710776294071131,0.435193200660355,0.984489704706272,0,1.17483359176495,0.89122979914942,1.35456170763553,-1.24142591116622,3.1011681509497,-0.00997962206353528,-0.00997962206353528,-0.00620615873210538,-0.14708422177177,-0.0128500320641821,-0.00997962206353528,-0.0933953576316179,"NHS-R26","Europe","Southeastern Europe","intensive agriculturalists",13,65
"q.1","NHS-C024",0.147307535025608,-0.041873830387594,0.34436857966769,0.12775,1.00125713097464,0.82793908313948,1.1439402020954,-1.51341467050177,2.48593213558174,-0.00372894727366946,-0.000832663912521485,-0.0130947307997603,-0.14708422177177,-0.0434365713739902,-0.000832663912521485,0.0279339521798302,"NHS-R25","Asia","Southeast Asia","horticulturalists",5,114
"q.1","NHS-C027",-0.1424100899809,-0.594951213486475,0.318435175203545,0.535833333333333,0.697427954566857,0.473488734058059,0.929102929256225,-1.46732710953646,1.33025488298878,0.000550025421818275,-0.0360365418006223,NA,-0.14708422177177,-0.0434365713739902,-0.0360365418006223,0.0402660362135013,"NHS-R24","Asia","South Asia","hunter-gatherers",6,20
"q.1","NHS-C029",-0.433182057478976,-0.836345613243096,-0.0268430856300122,0.0373333333333333,0.788008875939267,0.562735006640811,1.00734971695432,-2.12650099396328,1.02191218543711,0.00231351869908771,0.00861845765155421,-0.00620615873210538,0.178290399062287,0.0283793752392557,0.00861845765155421,-0.0933953576316179,"NHS-R10","South America","Eastern South America","intensive agriculturalists",5,26
"q.1","NHS-C032",-0.307151145720544,-0.773254241990629,0.145056959371352,0.186666666666667,0.774886032393018,0.559143582881447,1.00969925269198,-1.7280070257652,1.29776979269245,0.00115521891295808,0.0036348062180463,0.0129036534235062,-0.14708422177177,-0.0413319879785965,0.0036348062180463,0.0279339521798302,"NHS-R05","Africa","Central Africa","horticulturalists",10,20
"q.1","NHS-C033",-0.162318520059506,-0.509736855781276,0.174203136300672,0.348,0.822973232469517,0.58321456709941,1.01425416337853,-1.72019355968477,1.4467586555533,0.00112357857884779,0.00861845765155421,0.000200030522990241,0.178290399062287,0.0283793752392557,0.00861845765155421,0.0101644048674332,"NHS-R10","South America","Eastern South America","other subsistence combinations",5,35
"q.1","NHS-C036",-0.237244062670995,-0.356777162711195,-0.118938259967831,0,0.74174948609064,0.618116580951224,0.823582639065207,-1.55427867058766,1.45487194344643,0.0169500266574728,0.0358008872754036,0.012655822883291,0.178290399062287,0.079772220300524,0.0358008872754036,0.0402660362135013,"NHS-R21","North America","Plains and Plateau","hunter-gatherers",19,315
"q.1","NHS-C037",0.149999218892244,-0.270509006589827,0.576770418378728,0.480916666666667,0.802094378479814,0.572863986514943,1.01416118615684,-1.31979325338533,2.00451110258026,-0.000912457135905194,-0.000912457135905194,-0.00620615873210538,-0.14708422177177,-0.000912457135905194,-0.000912457135905194,-0.00911829980841171,"NHS-R15","Middle East","Middle East","pastoralists",2,27
"q.1","NHS-C042",0.160067448457124,-0.0352774425994639,0.358064489938618,0.108333333333333,0.784450237611788,0.612622788770765,0.904379092497997,-1.37174700277037,1.70425791606875,-0.00385330636780422,-0.00537689657047889,0.012655822883291,0.178290399062287,0.079772220300524,-0.00537689657047889,0.0402660362135013,"NHS-R02","North America","Arctic and Subarctic","hunter-gatherers",13,106
"q.1","NHS-C048",-0.145113637813331,-0.423586687718333,0.129189414215659,0.305166666666667,0.806596819963929,0.613378107343036,0.974461726884968,-1.5954925448569,1.75474810613251,0.00178994142197897,-0.050248831134394,0.0129036534235062,-0.14708422177177,-0.0413319879785965,-0.050248831134394,0.0279339521798302,"NHS-R30","Africa","Western Africa","horticulturalists",15,63
"q.1","NHS-C050",0.218816483773568,-1.26472684752519,1.69030425613928,0.767583333333333,0.489646579718332,0.0366783383332703,1.30415487728262,-1.02275635072369,1.38049883497777,-0.000213676027563268,-0.0360365418006223,-0.00620615873210538,-0.14708422177177,-0.0434365713739902,-0.0360365418006223,-0.0933953576316179,"NHS-R24","Asia","South Asia","intensive agriculturalists",1,2
"q.1","NHS-C052",-0.254863364386053,-0.740627886868875,0.220543804877519,0.297083333333333,0.73555661662592,0.511431112614444,0.931070309278331,-1.5893352829235,1.28583757210063,0.000833242053412995,-0.00570273122349827,-0.0130947307997603,0.178290399062287,-0.00464390677519657,-0.00570273122349827,0.0101644048674332,"NHS-R22","Oceania","Polynesia","other subsistence combinations",4,17
"q.1","NHS-C055",-0.727190882946304,-2.60786833778622,1.15592336630576,0.44725,NA,NA,NA,-1.48754508421908,0.0809782604675741,3.78386312305555e-05,3.78386312305555e-05,-0.000903414967774932,0.178290399062287,0.00542616092684305,3.78386312305555e-05,0.0279339521798302,"NHS-R12","Middle America and the Caribbean","Maya Area","horticulturalists",1,1
"q.1","NHS-C056",-0.026165580705627,-0.243249711591566,0.183178326784574,0.816083333333333,0.78735520939613,0.636408400247485,0.929473229647383,-1.60765186595285,1.52035716359654,0.000599575844777562,0.000998485828643168,-0.000631013939777257,-0.14708422177177,-0.0413319879785965,0.000998485828643168,-0.00911829980841171,"NHS-R09","Africa","Eastern Africa","pastoralists",16,101
"q.1","NHS-C058",0.0882495534920823,-0.146900601566583,0.331061834007324,0.4715,0.908813265105608,0.717846717627147,1.09191253227227,-1.58425376171218,2.13275092600092,-0.00173234586136824,0.0358008872754036,NA,0.178290399062287,0.079772220300524,0.0358008872754036,0.0402660362135013,"NHS-R21","North America","Plains and Plateau","hunter-gatherers",5,84
"q.1","NHS-C059",0.481280481784931,0.252429285967331,0.722292085964981,0,0.944265121443291,0.752027508240421,1.09546470251659,-0.982978891739851,2.68689328986861,-0.00821273797106807,-0.00805241371256123,-0.000631013939777257,-0.14708422177177,-0.0413319879785965,-0.00805241371256123,-0.00911829980841171,"NHS-R17","Africa","Northern Africa","pastoralists",6,77
"q.1","NHS-C064",0.637455688215309,0.243873741496396,1.03615115355687,0.00116666666666676,1.08621779810207,0.848807171251969,1.33000883927031,-1.13038770642917,2.82978124142439,-0.00391769456396258,-0.00391769456396258,-0.0130947307997603,0.178290399062287,-0.00464390677519657,-0.00391769456396258,0.0101644048674332,"NHS-R14","Oceania","Micronesia","other subsistence combinations",3,28
"q.1","NHS-C066",-0.409962473019338,-0.639177613725064,-0.191447531724402,0.00025,0.922809211834297,0.752384999065344,1.06272337793448,-1.88338794708475,2.1545343524266,0.00745093389211436,-0.050248831134394,-0.000631013939777257,-0.14708422177177,-0.0413319879785965,-0.050248831134394,0.0101644048674332,"NHS-R30","Africa","Western Africa","other subsistence combinations",10,85
"q.1","NHS-C067",-0.210410373764589,-0.33768879214654,-0.0862945644955664,0.001,0.732002523604609,0.594098473661272,0.81277618373886,-1.50848555378701,1.45603511585641,0.0136197773115965,0.0136197773115965,0.0136226559328659,0.178290399062287,0.079772220300524,0.0136197773115965,-0.0933953576316179,"NHS-R29","North America","Southwest and Basin","intensive agriculturalists",26,288
"q.1","NHS-C068",-0.178946673261233,-0.833125033737157,0.468253936339324,0.582333333333333,0.803332847213948,0.459969229589324,1.23745334351995,-1.8935476999878,1.38296565940657,0.000261401106369315,0.0153732837849629,0.0129036534235062,-0.14708422177177,-0.0413319879785965,0.0153732837849629,0.0101644048674332,"NHS-R27","Africa","Southern Africa","other subsistence combinations",5,11
"q.1","NHS-C070",-0.265924837571231,-0.392010650368135,-0.144348294963371,8.33333333333333e-05,0.8112076797477,0.658067050633711,0.903710036252721,-1.68251123777652,1.71853995687446,0.0172877827367367,0.0358008872754036,0.016699518344138,0.178290399062287,0.079772220300524,0.0358008872754036,0.0207350980428141,"NHS-R21","North America","Plains and Plateau","primarily hunter-gatherers",10,288
"q.1","NHS-C073",0.213330614720395,0.0678906151372417,0.363737784938361,0.00416666666666665,0.797764545230028,0.654873398013429,0.898440270491715,-1.31238476535707,1.83960129930812,-0.0105729213173542,-0.050248831134394,0.0129036534235062,-0.14708422177177,-0.0413319879785965,-0.050248831134394,0.0279339521798302,"NHS-R30","Africa","Western Africa","horticulturalists",11,211
"q.1","NHS-C074",-0.41591266455302,-0.741351779037838,-0.10089616671194,0.00983333333333333,0.732914592879747,0.56389489294399,0.90553607286703,-1.88963891091111,1.01110058013822,0.00396640680320141,0.00396640680320141,0.00817330030585167,0.178290399062287,0.0283793752392557,0.00396640680320141,0.0279339521798302,"NHS-R20","South America","Northwestern South America","horticulturalists",7,46
"q.1","NHS-C075",0.0798273542326996,-0.441710526492712,0.586123388488183,0.754416666666667,0.881384320198076,0.631480853619822,1.16045139849467,-1.34524732171854,2.47467561391232,-0.000411814732375361,-0.00111737261743492,-0.00136633543833228,-0.14708422177177,-0.0434365713739902,-0.00111737261743492,-0.0933953576316179,"NHS-R08","Asia","East Asia","intensive agriculturalists",8,16
"q.1","NHS-C077",-0.167336213452742,-0.367109512538264,0.0345177431866923,0.100583333333333,0.792663843349869,0.635008488735758,0.914401575718856,-1.53619807192902,1.70964724530758,0.00412980156550948,0.00412980156550948,0.00325962400490912,0.178290399062287,-0.00464390677519657,0.00412980156550948,0.0402660362135013,"NHS-R03","Oceania","Australia","hunter-gatherers",13,114
"q.1","NHS-C078",0.0530201678173597,-0.296240320425132,0.396717790906128,0.761083333333333,0.833101798270315,0.643694842307796,1.02637037738428,-1.53520742047104,1.84290499854899,-0.000550078832557437,-0.000550078832557437,-0.00620615873210538,-0.14708422177177,-0.0128500320641821,-0.000550078832557437,0.0101644048674332,"NHS-R04","Europe","British Isles","other subsistence combinations",9,38
"q.1","NHS-C079",-0.194194402054239,-0.635161904435012,0.242093829740095,0.386583333333333,0.757188983401659,0.548628275647366,0.973216400805328,-1.53378159159068,1.59772147496435,0.000761628425920683,0.000998485828643168,-0.000167310804265497,-0.14708422177177,-0.0413319879785965,0.000998485828643168,-0.00911829980841171,"NHS-R09","Africa","Eastern Africa","pastoralists",4,21
"q.1","NHS-C080",-0.119510632308698,-0.259585542490946,0.019966562264961,0.0980833333333333,0.73889957958985,0.621438354611581,0.837976266968671,-1.48098082100873,1.52124659309877,0.00562554768202775,0.00562554768202775,0.00477233944452473,0.178290399062287,0.079772220300524,0.00562554768202775,0.0402660362135013,"NHS-R19","North America","Northwest Coast and California","hunter-gatherers",17,207
"q.1","NHS-C081",-0.131604334544958,-0.384336728012538,0.119342090295824,0.29925,0.762138683322247,0.594890821220573,0.890662186060307,-1.39014241378061,1.75631234534423,0.00160658976662818,-0.000832663912521485,-0.0130947307997603,-0.14708422177177,-0.0434365713739902,-0.000832663912521485,0.0279339521798302,"NHS-R25","Asia","Southeast Asia","horticulturalists",12,62
"q.1","NHS-C082",-0.114963948605368,-0.27029570027435,0.0377537511323195,0.1435,0.753363847485595,0.59973914681156,0.853032272403516,-1.51657821018939,1.55908531744392,0.00465249036309738,0.00465249036309738,0.00817330030585167,0.178290399062287,0.00542616092684305,0.00465249036309738,0.0279339521798302,"NHS-R06","Middle America and the Caribbean","Central America","horticulturalists",18,184
"q.1","NHS-C083",0.501223052831391,0.360604318334686,0.636965780610346,0,1.13523466461534,0.9341171167457,1.26960750498022,-1.55276371210465,2.61219198885446,-0.035771453938411,-0.0360365418006223,-0.0378997780095258,-0.14708422177177,-0.0434365713739902,-0.0360365418006223,-0.0933953576316179,"NHS-R24","Asia","South Asia","intensive agriculturalists",7,310
"q.1","NHS-C084",0.906338070886199,0.698891585810235,1.08458630345948,0,1.19907974821862,0.968674845681629,1.35182128597144,-1.22747784754882,2.96209611070167,-0.0424594558452407,-0.050248831134394,-0.0444506410580192,-0.14708422177177,-0.0413319879785965,-0.050248831134394,-0.0933953576316179,"NHS-R30","Africa","Western Africa","intensive agriculturalists",11,209
"q.1","NHS-C085",-0.0977207663488237,-0.361927892764919,0.162207386427511,0.47025,0.774020397925036,0.6079970150895,0.960458723898762,-1.51045888275512,1.6038358094369,0.00111063006622702,-0.000832663912521485,0.000181910035302794,-0.14708422177177,-0.0434365713739902,-0.000832663912521485,-0.0933953576316179,"NHS-R25","Asia","Southeast Asia","intensive agriculturalists",7,59
"q.1","NHS-C086",-0.132120031490166,-0.591158019018492,0.318989506503523,0.569333333333333,0.809498079192836,0.611759297606948,1.02224588881508,-1.50484632340612,1.74067586792015,0.000450672217359566,0.000450672217359566,0.0136226559328659,0.178290399062287,0.00542616092684305,0.000450672217359566,0.000450672217359566,"NHS-R18","Middle America and the Caribbean","Northern Mexico","agro-pastoralists",3,20
"q.1","NHS-C087",0.813203935216274,-0.124518912290579,1.77127731424937,0.0867500000000001,0.594880599965771,0.213517115416262,1.09602230942481,-0.323522856673608,1.96343435371736,-0.000819233894440228,-0.00111737261743492,-0.00199608958976128,-0.14708422177177,-0.0434365713739902,-0.00111737261743492,-0.0933953576316179,"NHS-R08","Asia","East Asia","intensive agriculturalists",1,4
"q.1","NHS-C088",-0.264370674837501,-1.42783793805946,0.902573077772494,0.651666666666667,0.64827906675743,0.114168657889329,1.3698396205941,-1.47696080870916,1.04852397284804,4.65357835348251e-05,-0.00805241371256123,-0.000631013939777257,-0.14708422177177,-0.0413319879785965,-0.00805241371256123,-0.0933953576316179,"NHS-R17","Africa","Northern Africa","intensive agriculturalists",3,3
"q.1","NHS-C091",0.0630216895251949,-0.518569740131855,0.649647298666502,0.832583333333333,0.579525959157052,0.340074362501494,0.916481455917271,-1.17235406894526,1.27791733645942,-0.000258479808321789,-0.0360365418006223,-0.0378997780095258,-0.14708422177177,-0.0434365713739902,-0.0360365418006223,0.0101644048674332,"NHS-R24","Asia","South Asia","other subsistence combinations",3,11
"q.1","NHS-C092",-0.134359055149026,-0.363689216842839,0.0901984846083739,0.244166666666667,0.854972202542265,0.694892999045797,1.01163615004209,-1.72375857704805,1.67435368327296,0.00232972636148601,0.0036348062180463,0.0129036534235062,-0.14708422177177,-0.0413319879785965,0.0036348062180463,0.0402660362135013,"NHS-R05","Africa","Central Africa","hunter-gatherers",5,83
"q.1","NHS-C095",0.0719332534092363,-0.14229067921971,0.29215275095402,0.525083333333333,0.785528400157793,0.583492299911662,0.930077148634519,-1.44820227656738,1.65737365618829,-0.00153130574366055,-0.00537689657047889,-0.00252747822589581,0.178290399062287,0.079772220300524,-0.00537689657047889,0.0402660362135013,"NHS-R02","North America","Arctic and Subarctic","hunter-gatherers",10,91
"q.1","NHS-C097",-0.436504754318838,-0.800609040978911,-0.0763410321584272,0.0169166666666667,0.748276424269318,0.539766082585184,0.946573915833146,-1.84683489558382,1.1596515940237,0.00299583852085729,0.00647476429952517,0.00211528305688089,0.178290399062287,0.0283793752392557,0.00647476429952517,0.0207350980428141,"NHS-R28","South America","Southern South America","primarily hunter-gatherers",4,33
"q.1","NHS-C098",0.162014503404835,-0.344749180759858,0.669704612464818,0.536333333333333,0.984409547561261,0.725278017630495,1.3385984202923,-1.65609249307146,1.8910989594594,-0.00067913692527364,-0.00067913692527364,-0.00163971592455401,0.178290399062287,0.0283793752392557,-0.00067913692527364,0.0279339521798302,"NHS-R07","South America","Central Andes","horticulturalists",7,16
"q.1","NHS-C100",0.396574489297332,0.0301868600169529,0.76967804540412,0.0343333333333333,1.01896668202043,0.784627708712082,1.23256673896862,-1.41129503929273,2.57029814158507,-0.00293857711874408,-0.00203323600940765,-0.00395434583627166,-0.14708422177177,-0.0434365713739902,-0.00203323600940765,0.0101644048674332,"NHS-R16","Asia","North Asia","other subsistence combinations",6,34
"q.1","NHS-C108",-0.0978200828438144,-0.338290520852146,0.139937428054021,0.4145,0.797645853301068,0.65147083815147,0.937142711034863,-1.50000677460411,1.7544484828033,0.00185190615057698,-0.050248831134394,0.0129036534235062,-0.14708422177177,-0.0413319879785965,-0.050248831134394,0.0279339521798302,"NHS-R30","Africa","Western Africa","horticulturalists",14,88
"q.1","NHS-C111",-0.267544710714497,-0.496853057983792,-0.0459595839039554,0.0166666666666667,0.878285919420276,0.71156810535325,1.01873770096486,-1.76469087664901,2.03942773036358,0.00478906667392443,0.00861845765155421,0.00393964104264543,0.178290399062287,0.0283793752392557,0.00861845765155421,0.0402660362135013,"NHS-R10","South America","Eastern South America","hunter-gatherers",9,85
"q.1","NHS-C114",-0.0307287123969103,-0.433819945546265,0.383460160282097,0.868916666666667,1.05396836484359,0.782988622538279,1.3020680500938,-1.73573217057988,2.69630732290857,6.39391146743329e-06,0.000998485828643168,-0.000631013939777257,-0.14708422177177,-0.0413319879785965,0.000998485828643168,-0.0933953576316179,"NHS-R09","Africa","Eastern Africa","intensive agriculturalists",2,24
"q.1","NHS-C115",-0.223406297655779,-0.501363792689405,0.0545035007140492,0.117333333333333,0.719115173213391,0.55123721160889,0.877634163996566,-1.56904134929796,1.22864047835075,0.00231311948296644,0.00694180481563773,0.00141349226266766,0.178290399062287,0.0283793752392557,0.00694180481563773,0.0101644048674332,"NHS-R01","South America","Amazon and Orinoco","other subsistence combinations",9,51
"q.1","NHS-C116",-0.0553446699166973,-0.462518446038452,0.352979421591112,0.78725,0.791770134217296,0.597914377454096,0.990604406543061,-1.32079206664239,1.88681354076124,0.000172983282074966,0.00694180481563773,-0.000769516505429582,0.178290399062287,0.0283793752392557,0.00694180481563773,0.0279339521798302,"NHS-R01","South America","Amazon and Orinoco","horticulturalists",5,22
"q.2","NHS-C001",-0.372137760509479,-0.95199945434246,0.195156213765162,0.198833333333333,0.706812227492041,0.457063324119279,1.03876732214874,-1.787544341599,1.04845382639425,0.000923437732492212,0.00322661764430085,-0.000854775275664857,-0.000133323952850969,-0.00425797417817538,0.00322661764430085,0.0438207240148622,"NHS-R13","Oceania","Melanesia","intensive agriculturalists",4,13
"q.2","NHS-C002",-0.319031912445447,-0.524399185036045,-0.130217574492685,0.000833333333333333,0.813821115520326,0.663652788714651,0.92013835080629,-1.89012968218059,1.25852771587448,0.00837610741898134,0.00837610741898134,0.00672791908578278,-0.000133323952850969,0.0307945712947918,0.00837610741898134,-0.0161228860051522,"NHS-R11","North America","Eastern Woodlands","horticulturalists",16,121
"q.2","NHS-C003",-0.698161271901335,-0.913451509513796,-0.470546594095306,0,0.752372461270611,0.599707633142633,0.874246839366101,-2.11447225196028,0.899782454024133,0.0191982128296102,0.0197722465639717,-0.0024803864910257,-4.81404362284483e-05,0.0352505150853076,0.0197722465639717,-0.0161228860051522,"NHS-R27","Africa","Southern Africa","horticulturalists",4,126
"q.2","NHS-C004",0.0184433613288579,-0.381086776735251,0.417947364044845,0.917083333333333,0.83525199170256,0.585777282136282,1.05559894011786,-1.73978930245617,1.68582859282545,-0.000154752139458415,-0.011777793086474,-0.00134771287358284,-4.81404362284483e-05,-0.0192798315901847,-0.011777793086474,-0.0161228860051522,"NHS-R24","Asia","South Asia","horticulturalists",9,29
"q.2","NHS-C006",-0.326622737270268,-0.715731415359251,0.0442243745297964,0.0858333333333333,1.12284534861833,0.882681794243098,1.33894765353207,-2.56135445573839,1.68354433073982,0.00220303161452857,0.00322661764430085,-0.0146982394256744,-0.000133323952850969,-0.00425797417817538,0.00322661764430085,-0.0161228860051522,"NHS-R13","Oceania","Melanesia","horticulturalists",12,33
"q.2","NHS-C007",0.315699514044667,0.102881132419325,0.536865975688111,0.00524999999999998,0.856362192898653,0.680215658884052,1.00476831974923,-1.37513315958138,2.00782121295216,-0.00685652049414802,-0.00685652049414802,-0.00884867804998105,-4.81404362284483e-05,-0.00871018675832801,-0.00685652049414802,-0.0145073279607765,"NHS-R23","Europe","Scandinavia","pastoralists",10,100
"q.2","NHS-C008",0.168959872779776,-0.33743317210523,0.682597111983444,0.506916666666667,0.703367437180292,0.463598714432967,0.967143071718802,-1.23451152048727,1.64873916424199,-0.000747350669098656,-0.00251292578924753,-0.0146982394256744,-4.81404362284483e-05,-0.0192798315901847,-0.00251292578924753,0.0438207240148622,"NHS-R25","Asia","Southeast Asia","intensive agriculturalists",8,19
"q.2","NHS-C009",0.389778611211636,0.208572433931723,0.578798803192635,0,0.864491913659355,0.707709884804142,0.982108549687359,-1.4356200953217,1.92166441472429,-0.013886267473242,-0.0105552854270201,-0.0194470664379014,-0.000133323952850969,-0.00750529685137161,-0.0105552854270201,-0.0113021500140802,"NHS-R01","South America","Amazon and Orinoco","other subsistence combinations",5,163
"q.2","NHS-C011",-0.596341933655534,-1.1129856804758,-0.0938035772949557,0.019,1.02978569894914,0.735151334480578,1.36684887359532,-2.39719940173915,1.38187510195885,0.00230251662202214,0.00757126289975202,0.000553251482696773,-4.81404362284483e-05,0.0352505150853076,0.00757126289975202,0.0438207240148622,"NHS-R30","Africa","Western Africa","intensive agriculturalists",5,19
"q.2","NHS-C014",0.452283958982278,0.232991708974971,0.670523524955225,0.000166666666666648,0.843525813225551,0.672354355206527,0.983212388460428,-1.19769454424946,2.11992056784096,-0.0104999939178536,-0.00915860986429563,-0.0146982394256744,-0.000133323952850969,-0.00425797417817538,-0.00915860986429563,-0.0161228860051522,"NHS-R22","Oceania","Polynesia","horticulturalists",13,106
"q.2","NHS-C016",0.179656990665732,-0.141042553403782,0.512173556285724,0.2755,0.809224027481877,0.60125259012486,1.0164692325493,-1.4299038170045,1.75732533386564,-0.00193509389644585,-0.00350524260838469,-0.00379138725526725,-4.81404362284483e-05,-0.0192798315901847,-0.00350524260838469,-0.0145073279607765,"NHS-R16","Asia","North Asia","pastoralists",7,46
"q.2","NHS-C017",-0.0159760046027252,-0.420121336867788,0.386531778724337,0.932583333333333,0.852016544708409,0.625523249418883,1.07460704539761,-1.7546361826667,1.65503384038607,-7.16817436650259e-06,-0.00446176669288835,-0.0024803864910257,-4.81404362284483e-05,0.0352505150853076,-0.00446176669288835,0.0438207240148622,"NHS-R09","Africa","Eastern Africa","intensive agriculturalists",12,30
"q.2","NHS-C022",0.306992140033805,0.0873640174091412,0.529476383991991,0.00600000000000001,0.608384360006393,0.481725042191352,0.755458081856316,-0.970092849679685,1.47814863656217,-0.00601284459792818,-0.00303937167147986,-0.00798072048274238,-0.000133323952850969,-0.00750529685137161,-0.00303937167147986,-0.0191467915960297,"NHS-R28","South America","Southern South America","hunter-gatherers",4,89
"q.2","NHS-C023",-0.0884054854062611,-0.375182122440677,0.187005396348885,0.542166666666667,0.995480565815047,0.796606317828332,1.16376261840991,-2.21436897387435,1.69490115091144,0.00119838261780866,0.00119838261780866,-0.0194470664379014,-4.81404362284483e-05,-0.00871018675832801,0.00119838261780866,0.0438207240148622,"NHS-R26","Europe","Southeastern Europe","intensive agriculturalists",13,65
