"","indx","cite_text_manual","cite_url_manual","cite_page_manual","cite_text","cite_url","cite_pages","cite_byline","cite_analyst","cite_language","cite_title","cite_docid","cite_author","cite_doctype","cite_docnum","cite_location","cite_date","cite_fielddate","cite_evaluation","cite_publisher","pubyear","pubnonenglish","cite_author.1","author_female","author_age","authorfield_science","authorfield_ethno","authorfield_linguistic","authorfield_education","authorfield_art","authorfield_medicine","authorfield_business","authorfield_religion","authorfield_govt","authorfield_socialscience","authorfield_travel","authorfield_local"
"11",11,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","98","Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","98","by M. J. Field","Martin Malone ; Marlene Martin ; 1974","English","Search for security","fe12-027","Field, M. J. (Margaret Joyce)","Monograph",27,"Ghana","not specified","1937, Dec. 1955 - Feb. 1958","ethnologist,psychologist(psychiatrist)","New York, N.Y.",1970,0,"Field, M. J. (Margaret Joyce)",1,71,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"12",12,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","161","Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","161","by M. J. Field","Martin Malone ; Marlene Martin ; 1974","English","Search for security","fe12-027","Field, M. J. (Margaret Joyce)","Monograph",27,"Ghana","not specified","1937, Dec. 1955 - Feb. 1958","ethnologist,psychologist(psychiatrist)","New York, N.Y.",1970,0,"Field, M. J. (Margaret Joyce)",1,71,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"13",13,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","184-185","Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","184-185","by M. J. Field","Martin Malone ; Marlene Martin ; 1974","English","Search for security","fe12-027","Field, M. J. (Margaret Joyce)","Monograph",27,"Ghana","not specified","1937, Dec. 1955 - Feb. 1958","ethnologist,psychologist(psychiatrist)","New York, N.Y.",1970,0,"Field, M. J. (Margaret Joyce)",1,71,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"14",14,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","420-421","Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","420-421","by M. J. Field","Martin Malone ; Marlene Martin ; 1974","English","Search for security","fe12-027","Field, M. J. (Margaret Joyce)","Monograph",27,"Ghana","not specified","1937, Dec. 1955 - Feb. 1958","ethnologist,psychologist(psychiatrist)","New York, N.Y.",1970,0,"Field, M. J. (Margaret Joyce)",1,71,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"15",15,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","420-421","Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","420-421","by M. J. Field","Martin Malone ; Marlene Martin ; 1974","English","Search for security","fe12-027","Field, M. J. (Margaret Joyce)","Monograph",27,"Ghana","not specified","1937, Dec. 1955 - Feb. 1958","ethnologist,psychologist(psychiatrist)","New York, N.Y.",1970,0,"Field, M. J. (Margaret Joyce)",1,71,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"16",16,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","420-421","Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","420-421","by M. J. Field","Martin Malone ; Marlene Martin ; 1974","English","Search for security","fe12-027","Field, M. J. (Margaret Joyce)","Monograph",27,"Ghana","not specified","1937, Dec. 1955 - Feb. 1958","ethnologist,psychologist(psychiatrist)","New York, N.Y.",1970,0,"Field, M. J. (Margaret Joyce)",1,71,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"17",17,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","420-421","Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","420-421","by M. J. Field","Martin Malone ; Marlene Martin ; 1974","English","Search for security","fe12-027","Field, M. J. (Margaret Joyce)","Monograph",27,"Ghana","not specified","1937, Dec. 1955 - Feb. 1958","ethnologist,psychologist(psychiatrist)","New York, N.Y.",1970,0,"Field, M. J. (Margaret Joyce)",1,71,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"18",18,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","420-421","Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.","http://ehrafworldcultures.yale.edu/document?id=fe12-027","420-421","by M. J. Field","Martin Malone ; Marlene Martin ; 1974","English","Search for security","fe12-027","Field, M. J. (Margaret Joyce)","Monograph",27,"Ghana","not specified","1937, Dec. 1955 - Feb. 1958","ethnologist,psychologist(psychiatrist)","New York, N.Y.",1970,0,"Field, M. J. (Margaret Joyce)",1,71,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"19",19,"Gilbert, Michelle, Robert O. Lagacé, and Ian Skoggard. 2000. “Culture Summary: Akan.” New Haven, Conn.: HRAF.","http://ehrafworldcultures.yale.edu/document?id=fe12-000","10","Gilbert, Michelle, Robert O. Lagacé, and Ian Skoggard. 2000. “Culture Summary: Akan.” New Haven, Conn.: HRAF.","http://ehrafworldcultures.yale.edu/document?id=fe12-000","10","By Michelle Gilbert, Robert O. Lagacé, and Ian Skoggard","","English","Culture summary","fe12-000","Gilbert, Michelle Lagacé, Robert O. Skoggard, Ian A., 1953-","essay",0,"Cote d'Ivoire, Ghana, and Togo","not specified","no date","ethnologists","New Haven, Conn.",2000,0,"Gilbert, Michelle Lagacé, Robert O. Skoggard, Ian A., 1953-",0.333333333333333,47,0,1,0,0,0,0,0,0,0,0,0,0
"20",20,"Hayford, J. E. Casely (Joseph Ephraim Casely). 1970. “Gold Coast Native Institutions With Thoughts Upon A Healthy Imperial Policy For The Gold Coast And Ashanti.” Cass Library Of African Studies. Africana Modern Library. [London]: Cass.","http://ehrafworldcultures.yale.edu/document?id=fe12-045","91-92","Hayford, J. E. Casely (Joseph Ephraim Casely). 1970. “Gold Coast Native Institutions With Thoughts Upon A Healthy Imperial Policy For The Gold Coast And Ashanti.” Cass Library Of African Studies. Africana Modern Library. [London]: Cass.","http://ehrafworldcultures.yale.edu/document?id=fe12-045","91-92","by J. E. Casley Hayford","Ian Skoggard;1999","English","Gold Coast native institutions with thoughts upon a healthy imperial policy for the Gold Coast Ashanti","fe12-045","Hayford, J. E. Casley (Joseph Ephraim Casley), 1866-1930","Monograph",45,"Ashanti; Ghana","1842-1902","1897","lawyer,","[London]",1970,0,"Hayford, J. E. Casley (Joseph Ephraim Casley), 1866-1930",0,NA,0,0,0,0,0,0,0,0,1,0,0,0
"21",21,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","155-157","Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","155-157","by Capt. R. S. Rattray, M.B.E.","JUM ; 1954","English","Ashanti","fe12-001","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,"Ashanti; Ghana","not specified","1921","ethnographer","Oxford, England",1923,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,42,0,1,0,0,0,0,0,0,0,0,0,0
"22",22,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","207-209","Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","207-209","by Capt. R. S. Rattray, M.B.E.","JUM ; 1954","English","Ashanti","fe12-001","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,"Ashanti; Ghana","not specified","1921","ethnographer","Oxford, England",1923,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,42,0,1,0,0,0,0,0,0,0,0,0,0
"23",23,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","207-209","Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","207-209","by Capt. R. S. Rattray, M.B.E.","JUM ; 1954","English","Ashanti","fe12-001","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,"Ashanti; Ghana","not specified","1921","ethnographer","Oxford, England",1923,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,42,0,1,0,0,0,0,0,0,0,0,0,0
"24",24,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","159-160","Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","159-160","by Capt. R. S. Rattray, M.B.E.","JUM ; 1954","English","Ashanti","fe12-001","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,"Ashanti; Ghana","not specified","1921","ethnographer","Oxford, England",1923,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,42,0,1,0,0,0,0,0,0,0,0,0,0
"25",25,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","159-160","Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","159-160","by Capt. R. S. Rattray, M.B.E.","JUM ; 1954","English","Ashanti","fe12-001","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,"Ashanti; Ghana","not specified","1921","ethnographer","Oxford, England",1923,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,42,0,1,0,0,0,0,0,0,0,0,0,0
"26",26,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","159-160","Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","159-160","by Capt. R. S. Rattray, M.B.E.","JUM ; 1954","English","Ashanti","fe12-001","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,"Ashanti; Ghana","not specified","1921","ethnographer","Oxford, England",1923,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,42,0,1,0,0,0,0,0,0,0,0,0,0
"27",27,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","201-202","Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-001","201-202","by Capt. R. S. Rattray, M.B.E.","JUM ; 1954","English","Ashanti","fe12-001","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,"Ashanti; Ghana","not specified","1921","ethnographer","Oxford, England",1923,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,42,0,1,0,0,0,0,0,0,0,0,0,0
"28",28,"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-002","70-71","Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-002","70-71","by Capt. R. S. Rattray, M.B.E., B.Sc. (Oxon.)","Mary L. Bartlett ; 1954","English","Religion and art in Ashanti","fe12-002","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",2,"Ashanti; Ghana","not specified","1921-192?","ethnographer","Oxford, England",1927,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,46,0,1,0,0,0,0,0,0,0,0,0,0
"29",29,"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-002","143","Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-002","143","by Capt. R. S. Rattray, M.B.E., B.Sc. (Oxon.)","Mary L. Bartlett ; 1954","English","Religion and art in Ashanti","fe12-002","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",2,"Ashanti; Ghana","not specified","1921-192?","ethnographer","Oxford, England",1927,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,46,0,1,0,0,0,0,0,0,0,0,0,0
"30",30,"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-002","282","Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-002","282","by Capt. R. S. Rattray, M.B.E., B.Sc. (Oxon.)","Mary L. Bartlett ; 1954","English","Religion and art in Ashanti","fe12-002","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",2,"Ashanti; Ghana","not specified","1921-192?","ethnographer","Oxford, England",1927,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,46,0,1,0,0,0,0,0,0,0,0,0,0
"31",31,"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-002","283","Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.","http://ehrafworldcultures.yale.edu/document?id=fe12-002","283","by Capt. R. S. Rattray, M.B.E., B.Sc. (Oxon.)","Mary L. Bartlett ; 1954","English","Religion and art in Ashanti","fe12-002","Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",2,"Ashanti; Ghana","not specified","1921-192?","ethnographer","Oxford, England",1927,0,"Rattray, R. S. (Robert Sutherland), 1881-1938",0,46,0,1,0,0,0,0,0,0,0,0,0,0
"32",32,"Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.","http://ehrafworldcultures.yale.edu/document?id=fe12-042","23-25","Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.","http://ehrafworldcultures.yale.edu/document?id=fe12-042","23-25","Peter Sarpong","Ian Skoggard ;1999","English","Girls' nubility rites on Ashanti","fe12-042","Sarpong, Peter","Monograph",42,"Ashanti; Ghana","1920-1970","Not Specified","clergyman,","Tema, Ghana",1977,0,"Sarpong, Peter",0,44,0,0,0,0,0,0,0,1,0,0,0,0
"33",33,"Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.","http://ehrafworldcultures.yale.edu/document?id=fe12-042","23-25","Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.","http://ehrafworldcultures.yale.edu/document?id=fe12-042","23-25","Peter Sarpong","Ian Skoggard ;1999","English","Girls' nubility rites on Ashanti","fe12-042","Sarpong, Peter","Monograph",42,"Ashanti; Ghana","1920-1970","Not Specified","clergyman,","Tema, Ghana",1977,0,"Sarpong, Peter",0,44,0,0,0,0,0,0,0,1,0,0,0,0
"34",34,"Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.","http://ehrafworldcultures.yale.edu/document?id=fe12-042","23-25","Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.","http://ehrafworldcultures.yale.edu/document?id=fe12-042","23-25","Peter Sarpong","Ian Skoggard ;1999","English","Girls' nubility rites on Ashanti","fe12-042","Sarpong, Peter","Monograph",42,"Ashanti; Ghana","1920-1970","Not Specified","clergyman,","Tema, Ghana",1977,0,"Sarpong, Peter",0,44,0,0,0,0,0,0,0,1,0,0,0,0
"35",35,"Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.","http://ehrafworldcultures.yale.edu/document?id=fe12-042","23-25","Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.","http://ehrafworldcultures.yale.edu/document?id=fe12-042","23-25","Peter Sarpong","Ian Skoggard ;1999","English","Girls' nubility rites on Ashanti","fe12-042","Sarpong, Peter","Monograph",42,"Ashanti; Ghana","1920-1970","Not Specified","clergyman,","Tema, Ghana",1977,0,"Sarpong, Peter",0,44,0,0,0,0,0,0,0,1,0,0,0,0
