
================================================================================

DIMENSION 1

                                                        miss         freq   est   se     z
time_2200.to.0400                                  0.8366957 0.0871261378 -0.40 0.17 -2.45
ocm_food.consumption                               0.1267785 0.0311284047 -0.04 0.02 -2.17
time_1900.to.2200                                  0.8366957 0.1027308192 -0.13 0.06 -2.14
ocm_building.and.construction                      0.1267785 0.0055933852 -0.04 0.02 -2.05
ocm_fire                                           0.1267785 0.0048638132 -0.04 0.02 -2.01
ocm_socialization.and.education                    0.1267785 0.0615272374 -0.05 0.02 -1.94
ocm_hunting.and.trapping                           0.1267785 0.0216439689 -0.04 0.02 -1.80
ocm_human.biology                                  0.1267785 0.0085116732 -0.03 0.02 -1.75
instrument_aerophone                               0.8360586 0.1826424870 -0.30 0.18 -1.71
ocm_tools.and.appliances.not.weapons.              0.1267785 0.0034046693 -0.03 0.02 -1.44
ocm_adornment                                      0.1267785 0.0072957198 -0.03 0.02 -1.39
ocm_weapons                                        0.1267785 0.0009727626 -0.02 0.02 -1.14
ocm_war                                            0.1267785 0.0389105058 -0.02 0.02 -1.11
ocm_traditional.history                            0.1267785 0.0338035019 -0.02 0.02 -1.01
ocm_laws.rules                                     0.1267785 0.0041342412 -0.02 0.02 -1.00
stomp                                              0.8655766 0.2227488152 -0.08 0.10 -0.87
ocm_avoidance.and.taboo                            0.1267785 0.0004863813 -0.02 0.02 -0.78
ocm_flora                                          0.1267785 0.0048638132 -0.01 0.02 -0.69
audience_sex_female                                0.7980463 0.8338590957 -0.02 0.04 -0.64
ocm_daily.routine                                  0.1267785 0.0182392996 -0.01 0.02 -0.64
ocm_accumulation.of.wealth                         0.1267785 0.0060797665 -0.01 0.02 -0.63
time_1000.to.1400                                  0.8366957 0.2782834850 -0.04 0.07 -0.62
ocm_clothing                                       0.1267785 0.0009727626 -0.01 0.02 -0.62
ocm_political.behavior                             0.1267785 0.0150778210 -0.01 0.02 -0.55
ocm_intra.community.relations                      0.1267785 0.0513132296 -0.01 0.02 -0.52
ocm_agriculture                                    0.1267785 0.0352626459 -0.01 0.02 -0.50
ocm_peacemaking.maintaining.peace.                 0.1267785 0.0102140078 -0.01 0.02 -0.46
ocm_social.stratification.includes.slavery.        0.1267785 0.0077821012 -0.01 0.02 -0.45
ocm_senescence                                     0.1267785 0.0007295720 -0.01 0.02 -0.29
ocm_personality.traits                             0.1267785 0.0019455253  0.00 0.02 -0.24
clap                                               0.8485878 0.2426367461 -0.02 0.08 -0.21
ocm_exploitative.activities.includes.land.use.l... 0.1267785 0.0034046693  0.00 0.02 -0.20
ocm_menstruation                                   0.1267785 0.0004863813  0.00 0.06 -0.08
ocm_fishing                                        0.1267785 0.0024319066  0.00 0.02 -0.03
ocm_water.and.thirst                               0.1267785 0.0034046693  0.00 0.02  0.00
ocm_processing.of.basic.materials.such.as.bone.... 0.1267785 0.0043774319  0.00 0.02  0.02
ocm_location                                       0.1267785 0.0080252918  0.00 0.02  0.02
ocm_cultural.identity.and.pride                    0.1267785 0.0792801556  0.00 0.02  0.04
ocm_naming                                         0.1267785 0.0036478599  0.00 0.02  0.04
ocm_dwellings                                      0.1267785 0.0043774319  0.00 0.02  0.07
ocm_navigation                                     0.1267785 0.0007295720  0.00 0.02  0.07
ocm_disasters                                      0.1267785 0.0036478599  0.00 0.02  0.07
ocm_acculturation.and.culture.contact              0.1267785 0.0043774319  0.00 0.02  0.22
ocm_territorial.organization.includes.towns.and... 0.1267785 0.0004863813  0.01 0.03  0.31
restrict                                           0.0000000 0.1913357401  0.01 0.02  0.31
ocm_food.processing.includes.food.preparation.s... 0.1267785 0.0167801556  0.01 0.02  0.47
ocm_conversation                                   0.1267785 0.0087548638  0.01 0.02  0.60
instrument_percussion                              0.8360586 0.8406735751  0.04 0.06  0.69
ocm_missions.missionaries.                         0.1267785 0.0017023346  0.01 0.02  0.74
ocm_settlements                                    0.1267785 0.0021887160  0.02 0.02  0.86
audience_sex_male                                  0.7980463 0.8138801262  0.04 0.04  0.99
instrument_chordophone                             0.8360586 0.0738341969  0.08 0.07  1.04
ocm_numbers.and.measures                           0.1267785 0.0038910506  0.02 0.02  1.20
ocm_fauna                                          0.1267785 0.0223735409  0.02 0.02  1.22
ocm_crimes.violations.of.laws.and.rules.           0.1267785 0.0034046693  0.03 0.02  1.32
ocm_travel.and.transportation                      0.1267785 0.0430447471  0.03 0.02  1.47
ocm_extramarital.sex.relations.adultery.           0.1267785 0.0024319066  0.03 0.02  1.49
ocm_ideas.about.nature.and.people                  0.1267785 0.0126459144  0.04 0.02  1.78
ocm_kin.groups.clans.tribes.nation.                0.1267785 0.0060797665  0.04 0.02  1.86
ocm_pregnancy.and.childbirth                       0.1267785 0.0085116732  0.04 0.02  2.03
ocm_inter.community.relations                      0.1267785 0.0145914397  0.05 0.02  2.35
ocm_gender.roles.and.issues                        0.1267785 0.0048638132  0.05 0.02  2.45
ocm_offenses.and.sanctions                         0.1267785 0.0092412451  0.07 0.02  2.90
ocm_labor                                          0.1267785 0.0141050584  0.07 0.02  3.09
ocm_marriage                                       0.1267785 0.0471789883  0.07 0.02  3.35
ocm_public.opinion                                 0.1267785 0.0021887160  0.09 0.02  3.65
ocm_friendships                                    0.1267785 0.0051070039  0.09 0.03  3.79
singer_sex_female                                  0.4582714 0.5484123873  0.09 0.02  3.94
ocm_communication                                  0.1267785 0.0882782101  0.12 0.03  4.50
ocm_property                                       0.1267785 0.0087548638  0.12 0.03  4.75
time_1700.to.1900                                  0.8366957 0.4447334200  0.30 0.06  4.78
improv                                             0.0000000 0.0428965810  0.11 0.02  4.93
ocm_animal.husbandry                               0.1267785 0.0034046693  0.12 0.02  5.02
ocm_drives.and.emotions                            0.1267785 0.1274319066  0.11 0.02  5.03
singer_age_adolescent.young.adult                  0.6487577 0.1850060459  0.28 0.05  5.29
ocm_sex.not.extramarital.                          0.1267785 0.0245622568  0.19 0.03  5.56
compose                                            0.6419622 0.4851720047  0.24 0.04  5.63
singer_age_child                                   0.6487577 0.1287787183  0.54 0.10  5.67
ocm_ingroup.antagonisms                            0.1267785 0.0177529183  0.16 0.03  5.76
ocm_games                                          0.1267785 0.0449902724  0.20 0.03  5.81
ocm_humor                                          0.1267785 0.0179961089  0.17 0.03  6.00
ocm_family.includes.nuclear.family.polygamy.ado... 0.1267785 0.0133754864  0.17 0.03  6.53
ocm_infancy.and.childhood                          0.1267785 0.0172665370  0.37 0.05  7.51
audience_child                                     0.7362497 0.0909822866  0.53 0.07  7.51
ocm_interpersonal.relations.includes.love.         0.1267785 0.1026264591  0.30 0.04  7.54
child_by                                           0.0000000 0.0645572308  0.39 0.05  7.88
ocm_sleeping                                       0.1267785 0.0145914397  0.35 0.04  7.91
child_for                                          0.0000000 0.0394988320  0.42 0.05  8.82
informal                                           0.3629221 0.2433333333  0.44 0.05  9.04

================================================================================

DIMENSION 2

                                                        miss         freq   est   se     z
ocm_infancy.and.childhood                          0.1267785 0.0172665370 -0.43 0.05 -9.53
child_for                                          0.0000000 0.0394988320 -0.36 0.04 -9.11
ocm_sleeping                                       0.1267785 0.0145914397 -0.37 0.04 -8.92
singer_logage                                      0.6487577           NA -0.43 0.05 -8.85
religious                                          0.0000000 0.2558929709 -0.20 0.03 -7.21
singer_age_adult                                   0.6487577 0.6759371221 -0.22 0.03 -7.05
ocm_religious.beliefs.cosmology.spirits.gods.sa... 0.1267785 0.0717412451 -0.17 0.03 -5.93
ocm_death.burials.funerals.mourning.               0.1267785 0.0948443580 -0.15 0.03 -5.40
ocm_family.includes.nuclear.family.polygamy.ado... 0.1267785 0.0133754864 -0.13 0.02 -5.22
ocm_sickness.medical.care.and.shamans              0.1267785 0.0593385214 -0.12 0.02 -5.12
singer_age_elder                                   0.6487577 0.0725513906 -0.16 0.03 -5.08
ocm_pregnancy.and.childbirth                       0.1267785 0.0085116732 -0.09 0.02 -4.12
ocm_religious.practices.religious.experiences.p... 0.1267785 0.3129863813 -0.11 0.03 -3.89
ocm_sorcery.creating.sickness.or.bad.luck.         0.1267785 0.0097276265 -0.10 0.03 -3.78
audience_child                                     0.7362497 0.0909822866 -0.17 0.05 -3.37
ceremony                                           0.3450839 0.6507782101 -0.07 0.02 -3.13
time_1700.to.1900                                  0.8366957 0.4447334200 -0.21 0.07 -3.08
trance                                             0.0000000 0.0250583988 -0.07 0.02 -2.91
ocm_human.biology                                  0.1267785 0.0085116732 -0.06 0.02 -2.86
ocm_adornment                                      0.1267785 0.0072957198 -0.06 0.02 -2.62
ocm_drives.and.emotions                            0.1267785 0.1274319066 -0.06 0.02 -2.60
ocm_naming                                         0.1267785 0.0036478599 -0.06 0.03 -2.56
ocm_norms                                          0.1267785 0.0136186770 -0.06 0.02 -2.51
instrument_chordophone                             0.8360586 0.0738341969 -0.22 0.09 -2.49
ocm_dwellings                                      0.1267785 0.0043774319 -0.05 0.02 -2.19
time_1900.to.2200                                  0.8366957 0.1027308192 -0.12 0.06 -2.11
ocm_personality.traits                             0.1267785 0.0019455253 -0.04 0.02 -1.95
restrict                                           0.0000000 0.1913357401 -0.04 0.02 -1.92
ocm_hunting.and.trapping                           0.1267785 0.0216439689 -0.04 0.02 -1.76
ocm_kin.groups.clans.tribes.nation.                0.1267785 0.0060797665 -0.04 0.02 -1.61
audience_sex_male                                  0.7980463 0.8138801262 -0.07 0.04 -1.52
ocm_daily.routine                                  0.1267785 0.0182392996 -0.03 0.02 -1.46
ocm_laws.rules                                     0.1267785 0.0041342412 -0.04 0.03 -1.43
ocm_location                                       0.1267785 0.0080252918 -0.03 0.02 -1.33
ocm_building.and.construction                      0.1267785 0.0055933852 -0.03 0.02 -1.23
ocm_avoidance.and.taboo                            0.1267785 0.0004863813 -0.03 0.03 -1.09
ocm_traditional.history                            0.1267785 0.0338035019 -0.02 0.02 -0.95
ocm_processing.of.basic.materials.such.as.bone.... 0.1267785 0.0043774319 -0.02 0.02 -0.91
improv                                             0.0000000 0.0428965810 -0.02 0.02 -0.85
singer_sex_male                                    0.4582714 0.7056056448 -0.02 0.02 -0.80
ocm_war                                            0.1267785 0.0389105058 -0.02 0.02 -0.80
ocm_gender.roles.and.issues                        0.1267785 0.0048638132 -0.02 0.02 -0.74
ocm_navigation                                     0.1267785 0.0007295720 -0.03 0.04 -0.71
ocm_status.role.and.prestige                       0.1267785 0.0517996109 -0.01 0.03 -0.58
ocm_tools.and.appliances.not.weapons.              0.1267785 0.0034046693 -0.01 0.02 -0.53
ocm_food.consumption                               0.1267785 0.0311284047 -0.01 0.02 -0.51
ocm_animal.husbandry                               0.1267785 0.0034046693 -0.01 0.02 -0.44
ocm_clothing                                       0.1267785 0.0009727626 -0.01 0.02 -0.34
time_1000.to.1400                                  0.8366957 0.2782834850 -0.02 0.07 -0.26
ocm_public.opinion                                 0.1267785 0.0021887160  0.00 0.02 -0.17
ocm_settlements                                    0.1267785 0.0021887160  0.00 0.02 -0.16
ocm_food.processing.includes.food.preparation.s... 0.1267785 0.0167801556  0.00 0.02 -0.15
ocm_fishing                                        0.1267785 0.0024319066  0.00 0.02 -0.13
ocm_disasters                                      0.1267785 0.0036478599  0.00 0.02 -0.04
ocm_conversation                                   0.1267785 0.0087548638  0.00 0.02  0.05
ocm_political.behavior                             0.1267785 0.0150778210  0.00 0.03  0.12
ocm_senescence                                     0.1267785 0.0007295720  0.01 0.04  0.13
ocm_recreational.and.non.therapeutic.drugs         0.1267785 0.0187256809  0.00 0.02  0.17
ocm_accumulation.of.wealth                         0.1267785 0.0060797665  0.00 0.03  0.17
ocm_water.and.thirst                               0.1267785 0.0034046693  0.01 0.02  0.31
ocm_weapons                                        0.1267785 0.0009727626  0.01 0.02  0.33
ocm_crimes.violations.of.laws.and.rules.           0.1267785 0.0034046693  0.01 0.02  0.35
ocm_territorial.organization.includes.towns.and... 0.1267785 0.0004863813  0.01 0.03  0.36
ocm_exploitative.activities.includes.land.use.l... 0.1267785 0.0034046693  0.01 0.02  0.39
ocm_missions.missionaries.                         0.1267785 0.0017023346  0.01 0.02  0.42
ocm_menstruation                                   0.1267785 0.0004863813  0.09 0.20  0.45
ocm_property                                       0.1267785 0.0087548638  0.01 0.02  0.54
ocm_climate                                        0.1267785 0.0177529183  0.01 0.02  0.61
ocm_extramarital.sex.relations.adultery.           0.1267785 0.0024319066  0.01 0.02  0.63
instrument_percussion                              0.8360586 0.8406735751  0.04 0.05  0.64
audience_sex_female                                0.7980463 0.8338590957  0.03 0.04  0.68
ocm_flora                                          0.1267785 0.0048638132  0.02 0.02  0.77
ocm_fire                                           0.1267785 0.0048638132  0.02 0.02  0.84
ocm_acculturation.and.culture.contact              0.1267785 0.0043774319  0.02 0.02  0.89
ocm_travel.and.transportation                      0.1267785 0.0430447471  0.02 0.02  0.90
instrument_aerophone                               0.8360586 0.1826424870  0.12 0.12  0.99
ocm_communication                                  0.1267785 0.0882782101  0.03 0.03  1.01
ocm_social.stratification.includes.slavery.        0.1267785 0.0077821012  0.03 0.03  1.10
compose                                            0.6419622 0.4851720047  0.04 0.04  1.13
ocm_numbers.and.measures                           0.1267785 0.0038910506  0.03 0.02  1.22
ocm_buying.and.selling                             0.1267785 0.0075389105  0.03 0.02  1.40
ocm_marriage                                       0.1267785 0.0471789883  0.03 0.02  1.49
ocm_peacemaking.maintaining.peace.                 0.1267785 0.0102140078  0.03 0.02  1.55
ocm_fauna                                          0.1267785 0.0223735409  0.04 0.02  1.64
ocm_annual.cycle                                   0.1267785 0.0114299611  0.04 0.02  1.75
ocm_ideas.about.nature.and.people                  0.1267785 0.0126459144  0.04 0.02  1.82
ocm_agriculture                                    0.1267785 0.0352626459  0.04 0.02  1.88
ocm_inter.community.relations                      0.1267785 0.0145914397  0.05 0.02  2.13
ocm_intra.community.relations                      0.1267785 0.0513132296  0.05 0.02  2.25
ocm_spectacles                                     0.1267785 0.0890077821  0.06 0.02  2.49
appear                                             0.0000000 0.0596729667  0.07 0.03  2.59
audience_dance                                     0.7712890 0.3500464253  0.16 0.06  2.69
ocm_socialization.and.education                    0.1267785 0.0615272374  0.09 0.03  2.98
instrument                                         0.0000000 0.1696750903  0.08 0.03  2.99
singer_sex_female                                  0.4582714 0.5484123873  0.08 0.03  2.99
ocm_offenses.and.sanctions                         0.1267785 0.0092412451  0.07 0.02  3.01
ocm_gift.giving                                    0.1267785 0.0189688716  0.10 0.03  3.08
singers_leader                                     0.5640263 0.2927423283  0.11 0.03  3.28
ocm_humor                                          0.1267785 0.0179961089  0.09 0.03  3.39
audience_logsize                                   0.6978127           NA  0.14 0.04  3.45
ocm_labor                                          0.1267785 0.0141050584  0.08 0.02  3.46
informal                                           0.3629221 0.2433333333  0.10 0.03  3.50
ocm_ingroup.antagonisms                            0.1267785 0.0177529183  0.09 0.03  3.55
ocm_dance                                          0.1267785 0.1468871595  0.11 0.03  3.63
stomp                                              0.8655766 0.2227488152  0.45 0.12  3.79
time_1400.to.1700                                  0.8366957 0.0715214564  0.65 0.17  3.88
ocm_drama                                          0.1267785 0.0104571984  0.13 0.03  3.89
audience_logage                                    0.7362497           NA  0.17 0.04  3.95
ocm_friendships                                    0.1267785 0.0051070039  0.12 0.03  4.34
singers_dance                                      0.6808240 0.5469061876  0.19 0.04  4.46
ocm_cultural.identity.and.pride                    0.1267785 0.0792801556  0.10 0.02  4.47
mimic                                              0.0000000 0.0407729879  0.15 0.03  4.56
time_2200.to.0400                                  0.8366957 0.0871261378  0.84 0.18  4.68
clap                                               0.8485878 0.2426367461  0.43 0.09  4.78
time_0700.to.1000                                  0.8366957 0.1066319896  0.88 0.18  4.87
ocm_interpersonal.relations.includes.love.         0.1267785 0.1026264591  0.16 0.03  4.94
time_0400.to.0700                                  0.8366957 0.1157347204  0.66 0.13  5.02
singers_multiple                                   0.3707794 0.6564292946  0.13 0.03  5.27
ocm_puberty.and.initiation                         0.1267785 0.0445038911  0.24 0.04  5.57
ocm_games                                          0.1267785 0.0449902724  0.24 0.04  5.96
singer_age_child                                   0.6487577 0.1287787183  0.47 0.08  6.22
ocm_sex.not.extramarital.                          0.1267785 0.0245622568  0.21 0.03  6.50
singer_age_adolescent.young.adult                  0.6487577 0.1850060459  0.32 0.05  6.87
child_by                                           0.0000000 0.0645572308  0.35 0.04  7.71

================================================================================

DIMENSION 3

                                                        miss         freq   est   se     z
singers_leader                                     0.5640263 0.2927423283 -0.27 0.04 -5.97
child_for                                          0.0000000 0.0394988320 -0.25 0.04 -5.57
ocm_infancy.and.childhood                          0.1267785 0.0172665370 -0.26 0.05 -5.44
ocm_puberty.and.initiation                         0.1267785 0.0445038911 -0.38 0.07 -5.35
clap                                               0.8485878 0.2426367461 -0.50 0.10 -5.14
ocm_socialization.and.education                    0.1267785 0.0615272374 -0.23 0.05 -5.12
audience_child                                     0.7362497 0.0909822866 -0.27 0.06 -4.84
ocm_sleeping                                       0.1267785 0.0145914397 -0.18 0.04 -4.64
ocm_religious.practices.religious.experiences.p... 0.1267785 0.3129863813 -0.21 0.05 -4.53
singers_dance                                      0.6808240 0.5469061876 -0.29 0.06 -4.47
instrument                                         0.0000000 0.1696750903 -0.22 0.05 -4.46
audience_dance                                     0.7712890 0.3500464253 -0.33 0.08 -4.33
ocm_gift.giving                                    0.1267785 0.0189688716 -0.24 0.06 -4.30
appear                                             0.0000000 0.0596729667 -0.18 0.04 -4.05
mimic                                              0.0000000 0.0407729879 -0.23 0.06 -4.04
ceremony                                           0.3450839 0.6507782101 -0.11 0.03 -3.96
ocm_dance                                          0.1267785 0.1468871595 -0.19 0.05 -3.94
ocm_drama                                          0.1267785 0.0104571984 -0.21 0.05 -3.83
trance                                             0.0000000 0.0250583988 -0.14 0.04 -3.76
stomp                                              0.8655766 0.2227488152 -0.61 0.17 -3.48
singer_sex_female                                  0.4582714 0.5484123873 -0.11 0.03 -3.43
time_1000.to.1400                                  0.8366957 0.2782834850 -0.24 0.07 -3.35
singers_multiple                                   0.3707794 0.6564292946 -0.08 0.03 -2.74
ocm_annual.cycle                                   0.1267785 0.0114299611 -0.07 0.03 -2.41
child_by                                           0.0000000 0.0645572308 -0.13 0.06 -2.31
instrument_percussion                              0.8360586 0.8406735751 -0.11 0.05 -2.22
ocm_adornment                                      0.1267785 0.0072957198 -0.05 0.02 -2.10
religious                                          0.0000000 0.2558929709 -0.06 0.03 -2.05
ocm_games                                          0.1267785 0.0449902724 -0.11 0.05 -2.01
ocm_humor                                          0.1267785 0.0179961089 -0.07 0.04 -1.98
ocm_climate                                        0.1267785 0.0177529183 -0.05 0.03 -1.76
audience_sex_female                                0.7980463 0.8338590957 -0.06 0.04 -1.73
ocm_recreational.and.non.therapeutic.drugs         0.1267785 0.0187256809 -0.03 0.02 -1.60
audience_logsize                                   0.6978127           NA -0.06 0.04 -1.51
restrict                                           0.0000000 0.1913357401 -0.03 0.02 -1.42
ocm_friendships                                    0.1267785 0.0051070039 -0.04 0.03 -1.36
ocm_pregnancy.and.childbirth                       0.1267785 0.0085116732 -0.03 0.02 -1.34
ocm_fire                                           0.1267785 0.0048638132 -0.03 0.02 -1.31
time_1700.to.1900                                  0.8366957 0.4447334200 -0.05 0.05 -0.98
ocm_gender.roles.and.issues                        0.1267785 0.0048638132 -0.02 0.02 -0.96
singer_age_adult                                   0.6487577 0.6759371221 -0.02 0.03 -0.83
ocm_kin.groups.clans.tribes.nation.                0.1267785 0.0060797665 -0.02 0.02 -0.76
ocm_animal.husbandry                               0.1267785 0.0034046693 -0.02 0.02 -0.72
singer_age_child                                   0.6487577 0.1287787183 -0.06 0.09 -0.64
ocm_naming                                         0.1267785 0.0036478599 -0.01 0.02 -0.45
ocm_menstruation                                   0.1267785 0.0004863813 -0.21 0.52 -0.41
ocm_sorcery.creating.sickness.or.bad.luck.         0.1267785 0.0097276265 -0.01 0.02 -0.27
ocm_family.includes.nuclear.family.polygamy.ado... 0.1267785 0.0133754864 -0.01 0.02 -0.24
ocm_sickness.medical.care.and.shamans              0.1267785 0.0593385214 -0.01 0.02 -0.22
singer_logage                                      0.6487577           NA  0.00 0.05 -0.01
ocm_religious.beliefs.cosmology.spirits.gods.sa... 0.1267785 0.0717412451  0.00 0.03  0.04
ocm_buying.and.selling                             0.1267785 0.0075389105  0.00 0.02  0.04
ocm_ingroup.antagonisms                            0.1267785 0.0177529183  0.00 0.03  0.09
ocm_missions.missionaries.                         0.1267785 0.0017023346  0.00 0.02  0.12
ocm_inter.community.relations                      0.1267785 0.0145914397  0.00 0.02  0.16
ocm_ideas.about.nature.and.people                  0.1267785 0.0126459144  0.01 0.02  0.24
ocm_territorial.organization.includes.towns.and... 0.1267785 0.0004863813  0.03 0.09  0.29
singer_age_elder                                   0.6487577 0.0725513906  0.01 0.03  0.32
ocm_senescence                                     0.1267785 0.0007295720  0.02 0.06  0.34
ocm_clothing                                       0.1267785 0.0009727626  0.01 0.02  0.37
ocm_weapons                                        0.1267785 0.0009727626  0.01 0.02  0.43
ocm_cultural.identity.and.pride                    0.1267785 0.0792801556  0.01 0.03  0.44
ocm_navigation                                     0.1267785 0.0007295720  0.03 0.07  0.50
instrument_chordophone                             0.8360586 0.0738341969  0.03 0.06  0.57
ocm_tools.and.appliances.not.weapons.              0.1267785 0.0034046693  0.01 0.02  0.60
ocm_avoidance.and.taboo                            0.1267785 0.0004863813  0.02 0.03  0.76
ocm_flora                                          0.1267785 0.0048638132  0.02 0.02  0.91
ocm_fishing                                        0.1267785 0.0024319066  0.02 0.02  0.94
ocm_conversation                                   0.1267785 0.0087548638  0.02 0.03  0.97
ocm_acculturation.and.culture.contact              0.1267785 0.0043774319  0.02 0.02  1.04
ocm_extramarital.sex.relations.adultery.           0.1267785 0.0024319066  0.02 0.02  1.08
ocm_building.and.construction                      0.1267785 0.0055933852  0.03 0.02  1.14
ocm_sex.not.extramarital.                          0.1267785 0.0245622568  0.05 0.04  1.21
ocm_exploitative.activities.includes.land.use.l... 0.1267785 0.0034046693  0.03 0.02  1.23
ocm_human.biology                                  0.1267785 0.0085116732  0.03 0.02  1.25
ocm_food.consumption                               0.1267785 0.0311284047  0.03 0.02  1.28
ocm_personality.traits                             0.1267785 0.0019455253  0.03 0.02  1.37
ocm_fauna                                          0.1267785 0.0223735409  0.03 0.02  1.42
ocm_dwellings                                      0.1267785 0.0043774319  0.03 0.02  1.47
ocm_traditional.history                            0.1267785 0.0338035019  0.04 0.03  1.64
ocm_peacemaking.maintaining.peace.                 0.1267785 0.0102140078  0.04 0.02  1.74
ocm_public.opinion                                 0.1267785 0.0021887160  0.04 0.02  1.74
ocm_daily.routine                                  0.1267785 0.0182392996  0.04 0.02  1.76
ocm_location                                       0.1267785 0.0080252918  0.04 0.02  1.78
ocm_spectacles                                     0.1267785 0.0890077821  0.06 0.03  1.79
ocm_accumulation.of.wealth                         0.1267785 0.0060797665  0.05 0.03  1.83
ocm_marriage                                       0.1267785 0.0471789883  0.05 0.03  1.90
ocm_processing.of.basic.materials.such.as.bone.... 0.1267785 0.0043774319  0.05 0.02  1.91
ocm_settlements                                    0.1267785 0.0021887160  0.05 0.02  2.08
ocm_numbers.and.measures                           0.1267785 0.0038910506  0.05 0.02  2.11
ocm_disasters                                      0.1267785 0.0036478599  0.05 0.03  2.14
singer_age_adolescent.young.adult                  0.6487577 0.1850060459  0.10 0.05  2.19
ocm_norms                                          0.1267785 0.0136186770  0.06 0.03  2.23
ocm_food.processing.includes.food.preparation.s... 0.1267785 0.0167801556  0.05 0.02  2.28
ocm_water.and.thirst                               0.1267785 0.0034046693  0.05 0.02  2.28
ocm_offenses.and.sanctions                         0.1267785 0.0092412451  0.06 0.03  2.32
ocm_agriculture                                    0.1267785 0.0352626459  0.06 0.03  2.35
ocm_hunting.and.trapping                           0.1267785 0.0216439689  0.07 0.03  2.57
ocm_drives.and.emotions                            0.1267785 0.1274319066  0.07 0.03  2.61
compose                                            0.6419622 0.4851720047  0.13 0.05  2.73
ocm_death.burials.funerals.mourning.               0.1267785 0.0948443580  0.09 0.03  2.75
instrument_aerophone                               0.8360586 0.1826424870  0.37 0.14  2.75
time_1900.to.2200                                  0.8366957 0.1027308192  0.13 0.05  2.79
ocm_intra.community.relations                      0.1267785 0.0513132296  0.08 0.03  2.87
ocm_laws.rules                                     0.1267785 0.0041342412  0.10 0.03  3.03
ocm_interpersonal.relations.includes.love.         0.1267785 0.1026264591  0.12 0.04  3.04
ocm_status.role.and.prestige                       0.1267785 0.0517996109  0.10 0.03  3.05
singer_sex_male                                    0.4582714 0.7056056448  0.08 0.03  3.07
ocm_social.stratification.includes.slavery.        0.1267785 0.0077821012  0.11 0.04  3.12
ocm_crimes.violations.of.laws.and.rules.           0.1267785 0.0034046693  0.10 0.03  3.21
improv                                             0.0000000 0.0428965810  0.09 0.03  3.28
ocm_war                                            0.1267785 0.0389105058  0.10 0.03  3.50
ocm_travel.and.transportation                      0.1267785 0.0430447471  0.11 0.03  3.55
audience_sex_male                                  0.7980463 0.8138801262  0.14 0.04  3.57
ocm_property                                       0.1267785 0.0087548638  0.11 0.03  3.57
ocm_political.behavior                             0.1267785 0.0150778210  0.14 0.04  3.70
