indx,ocm,cite_text,cite_url,cite_pages,cite_byline,cite_analyst,cite_language,cite_title,cite_docid,cite_author,cite_doctype,cite_docnum,cite_location,cite_date,cite_fielddate,cite_evaluation,cite_publisher
11,SACRED OBJECTS AND PLACES (778),"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,98,by M. J. Field,Martin Malone ; Marlene Martin ; 1974,English,Search for security,fe12-027,"Field, M. J. (Margaret Joyce)",Monograph,27,Ghana,not specified,"1937, Dec. 1955 - Feb. 1958","Ethnologist, Psychologist (Psychiatrist)-5","New York, N.Y."
12,SORCERY (754); SENESCENCE (886); SPIRITS AND GODS (776); PERSONALITY DISORDERS (158); LIFE HISTORY MATERIALS (159),"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,161,by M. J. Field,Martin Malone ; Marlene Martin ; 1974,English,Search for security,fe12-027,"Field, M. J. (Margaret Joyce)",Monograph,27,Ghana,not specified,"1937, Dec. 1955 - Feb. 1958","Ethnologist, Psychologist (Psychiatrist)-5","New York, N.Y."
13,SORCERY (754); PERSONALITY DISORDERS (158); LIFE HISTORY MATERIALS (159),"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,184-185,by M. J. Field,Martin Malone ; Marlene Martin ; 1974,English,Search for security,fe12-027,"Field, M. J. (Margaret Joyce)",Monograph,27,Ghana,not specified,"1937, Dec. 1955 - Feb. 1958","Ethnologist, Psychologist (Psychiatrist)-5","New York, N.Y."
14,SORCERY (754); LITERARY TEXTS (539); PERSONALITY DISORDERS (158); LIFE HISTORY MATERIALS (159),"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,420-421,by M. J. Field,Martin Malone ; Marlene Martin ; 1974,English,Search for security,fe12-027,"Field, M. J. (Margaret Joyce)",Monograph,27,Ghana,not specified,"1937, Dec. 1955 - Feb. 1958","Ethnologist, Psychologist (Psychiatrist)-5","New York, N.Y."
15,SORCERY (754); LITERARY TEXTS (539); PERSONALITY DISORDERS (158); LIFE HISTORY MATERIALS (159),"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,420-421,by M. J. Field,Martin Malone ; Marlene Martin ; 1974,English,Search for security,fe12-027,"Field, M. J. (Margaret Joyce)",Monograph,27,Ghana,not specified,"1937, Dec. 1955 - Feb. 1958","Ethnologist, Psychologist (Psychiatrist)-5","New York, N.Y."
16,SORCERY (754); LITERARY TEXTS (539); PERSONALITY DISORDERS (158); LIFE HISTORY MATERIALS (159),"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,420-421,by M. J. Field,Martin Malone ; Marlene Martin ; 1974,English,Search for security,fe12-027,"Field, M. J. (Margaret Joyce)",Monograph,27,Ghana,not specified,"1937, Dec. 1955 - Feb. 1958","Ethnologist, Psychologist (Psychiatrist)-5","New York, N.Y."
17,SORCERY (754); LITERARY TEXTS (539); PERSONALITY DISORDERS (158); LIFE HISTORY MATERIALS (159),"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,420-421,by M. J. Field,Martin Malone ; Marlene Martin ; 1974,English,Search for security,fe12-027,"Field, M. J. (Margaret Joyce)",Monograph,27,Ghana,not specified,"1937, Dec. 1955 - Feb. 1958","Ethnologist, Psychologist (Psychiatrist)-5","New York, N.Y."
18,SORCERY (754); LITERARY TEXTS (539); PERSONALITY DISORDERS (158); LIFE HISTORY MATERIALS (159),"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,420-421,by M. J. Field,Martin Malone ; Marlene Martin ; 1974,English,Search for security,fe12-027,"Field, M. J. (Margaret Joyce)",Monograph,27,Ghana,not specified,"1937, Dec. 1955 - Feb. 1958","Ethnologist, Psychologist (Psychiatrist)-5","New York, N.Y."
19,TRANSMISSION OF MESSAGES (202); VERBAL ARTS (5310),"Gilbert, Michelle, Robert O. Lagacé, and Ian Skoggard. 2000. “Culture Summary: Akan.” New Haven, Conn.: HRAF.",http://ehrafworldcultures.yale.edu/document?id=fe12-000,10,"By Michelle Gilbert, Robert O. Lagacé, and Ian Skoggard",,English,Culture summary,fe12-000,"Gilbert, Michelle Lagacé, Robert O. Skoggard, Ian A., 1953-",essay,0,"Cote d'Ivoire, Ghana, and Togo",not specified,no date,Ethnologists - 4,"New Haven, Conn."
20,SUPPLY AND COMMISSARIAT (705); DISCIPLINE AND MORALE (703),"Hayford, J. E. Casely (Joseph Ephraim Casely). 1970. “Gold Coast Native Institutions With Thoughts Upon A Healthy Imperial Policy For The Gold Coast And Ashanti.” Cass Library Of African Studies. Africana Modern Library. [London]: Cass.",http://ehrafworldcultures.yale.edu/document?id=fe12-045,91-92,by J. E. Casley Hayford,Ian Skoggard;1999,English,Gold Coast native institutions with thoughts upon a healthy imperial policy for the Gold Coast Ashanti,fe12-045,"Hayford, J. E. Casley (Joseph Ephraim Casley), 1866-1930",Monograph,45,Ashanti; Ghana,1842-1902,1897,"Lawyer-4,5",[London]
21,CHIEF EXECUTIVE (643); SACRED OBJECTS AND PLACES (778); RECORDING AND COLLECTING IN THE FIELD (126); PRIESTHOOD (793); LITERARY TEXTS (539); ORGANIZED CEREMONIAL (796); VISITING AND HOSPITALITY (574),"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,155-157,"by Capt. R. S. Rattray, M.B.E.",JUM ; 1954,English,Ashanti,fe12-001,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,Ashanti; Ghana,not specified,1921,Ethnographer-5,"Oxford, England"
22,LITERARY TEXTS (539); ORGANIZED CEREMONIAL (796),"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,207-209,"by Capt. R. S. Rattray, M.B.E.",JUM ; 1954,English,Ashanti,fe12-001,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,Ashanti; Ghana,not specified,1921,Ethnographer-5,"Oxford, England"
23,LITERARY TEXTS (539); ORGANIZED CEREMONIAL (796),"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,207-209,"by Capt. R. S. Rattray, M.B.E.",JUM ; 1954,English,Ashanti,fe12-001,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,Ashanti; Ghana,not specified,1921,Ethnographer-5,"Oxford, England"
24,DANCE (535); DRAMA (536); ORGANIZED CEREMONIAL (796),"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,159-160,"by Capt. R. S. Rattray, M.B.E.",JUM ; 1954,English,Ashanti,fe12-001,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,Ashanti; Ghana,not specified,1921,Ethnographer-5,"Oxford, England"
25,DANCE (535); DRAMA (536); ORGANIZED CEREMONIAL (796),"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,159-160,"by Capt. R. S. Rattray, M.B.E.",JUM ; 1954,English,Ashanti,fe12-001,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,Ashanti; Ghana,not specified,1921,Ethnographer-5,"Oxford, England"
26,DANCE (535); DRAMA (536); ORGANIZED CEREMONIAL (796),"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,159-160,"by Capt. R. S. Rattray, M.B.E.",JUM ; 1954,English,Ashanti,fe12-001,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,Ashanti; Ghana,not specified,1921,Ethnographer-5,"Oxford, England"
27,PRAYERS AND SACRIFICES (782),"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,201-202,"by Capt. R. S. Rattray, M.B.E.",JUM ; 1954,English,Ashanti,fe12-001,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",1,Ashanti; Ghana,not specified,1921,Ethnographer-5,"Oxford, England"
28,PUBERTY AND INITIATION (881); LITERARY TEXTS (539),"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-002,70-71,"by Capt. R. S. Rattray, M.B.E., B.Sc. (Oxon.)",Mary L. Bartlett ; 1954,English,Religion and art in Ashanti,fe12-002,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",2,Ashanti; Ghana,not specified,1921-192?,Ethnographer-5,"Oxford, England"
29,ORGANIZED CEREMONIAL (796); PRAYERS AND SACRIFICES (782),"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-002,143,"by Capt. R. S. Rattray, M.B.E., B.Sc. (Oxon.)",Mary L. Bartlett ; 1954,English,Religion and art in Ashanti,fe12-002,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",2,Ashanti; Ghana,not specified,1921-192?,Ethnographer-5,"Oxford, England"
30,MUSICAL INSTRUMENTS (534),"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-002,282,"by Capt. R. S. Rattray, M.B.E., B.Sc. (Oxon.)",Mary L. Bartlett ; 1954,English,Religion and art in Ashanti,fe12-002,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",2,Ashanti; Ghana,not specified,1921-192?,Ethnographer-5,"Oxford, England"
31,AVOIDANCE AND TABOO (784); CULT OF THE DEAD (769); EXECUTIVE HOUSEHOLD (644); MUSICAL INSTRUMENTS (534); SPECIAL BURIAL PRACTICES AND FUNERALS (766),"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-002,283,"by Capt. R. S. Rattray, M.B.E., B.Sc. (Oxon.)",Mary L. Bartlett ; 1954,English,Religion and art in Ashanti,fe12-002,"Rattray, R. S. (Robert Sutherland), 1881-1938","Component part(s), monograph",2,Ashanti; Ghana,not specified,1921-192?,Ethnographer-5,"Oxford, England"
32,"PUBERTY AND INITIATION (881); DANCE (535); ARRANGING A MARRIAGE (584); STATUS, ROLE, AND PRESTIGE (554); SEXUALITY (831); GIFT GIVING (431)","Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.",http://ehrafworldcultures.yale.edu/document?id=fe12-042,23-25,Peter Sarpong,Ian Skoggard ;1999,English,Girls' nubility rites on Ashanti,fe12-042,"Sarpong, Peter",Monograph,42,Ashanti; Ghana,1920-1970,Not Specified,"Clergyman-4,5","Tema, Ghana"
33,"PUBERTY AND INITIATION (881); DANCE (535); ARRANGING A MARRIAGE (584); STATUS, ROLE, AND PRESTIGE (554); SEXUALITY (831); GIFT GIVING (431)","Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.",http://ehrafworldcultures.yale.edu/document?id=fe12-042,23-25,Peter Sarpong,Ian Skoggard ;1999,English,Girls' nubility rites on Ashanti,fe12-042,"Sarpong, Peter",Monograph,42,Ashanti; Ghana,1920-1970,Not Specified,"Clergyman-4,5","Tema, Ghana"
34,"PUBERTY AND INITIATION (881); DANCE (535); ARRANGING A MARRIAGE (584); STATUS, ROLE, AND PRESTIGE (554); SEXUALITY (831); GIFT GIVING (431)","Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.",http://ehrafworldcultures.yale.edu/document?id=fe12-042,23-25,Peter Sarpong,Ian Skoggard ;1999,English,Girls' nubility rites on Ashanti,fe12-042,"Sarpong, Peter",Monograph,42,Ashanti; Ghana,1920-1970,Not Specified,"Clergyman-4,5","Tema, Ghana"
35,"PUBERTY AND INITIATION (881); DANCE (535); ARRANGING A MARRIAGE (584); STATUS, ROLE, AND PRESTIGE (554); SEXUALITY (831); GIFT GIVING (431)","Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.",http://ehrafworldcultures.yale.edu/document?id=fe12-042,23-25,Peter Sarpong,Ian Skoggard ;1999,English,Girls' nubility rites on Ashanti,fe12-042,"Sarpong, Peter",Monograph,42,Ashanti; Ghana,1920-1970,Not Specified,"Clergyman-4,5","Tema, Ghana"
36,PUBERTY AND INITIATION (881); MUSICAL INSTRUMENTS (534); DANCE (535),"Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.",http://ehrafworldcultures.yale.edu/document?id=fe12-042,23,Peter Sarpong,Ian Skoggard ;1999,English,Girls' nubility rites on Ashanti,fe12-042,"Sarpong, Peter",Monograph,42,Ashanti; Ghana,1920-1970,Not Specified,"Clergyman-4,5","Tema, Ghana"
37,NORMAL GARB (291); DESCRIPTIVE SOMATOLOGY (142); PERSONAL GROOMING (302); MUSICAL INSTRUMENTS (534); BURIAL PRACTICES AND FUNERALS (764),"Warren, Dennis M. 1986. “Akan Of Ghana: An Overview Of The Ethnographic Literature.” Accra: Pointer Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-029,57-59,By Dennis M. Warren,John Beierle ; 1995,English,The Akan of Ghana,fe12-029,"Warren, Dennis M.","component part(s), monograph",29,Ghana,not specified,unknown,Ethnologist -4,Accra
38,n/a,"Warren, Dennis M. 1986. “Akan Of Ghana: An Overview Of The Ethnographic Literature.” Accra: Pointer Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-029,"57, 59",By Dennis M. Warren,John Beierle ; 1995,English,The Akan of Ghana,fe12-029,"Warren, Dennis M.","component part(s), monograph",29,Ghana,not specified,unknown,Ethnologist -4,Accra
39,"STATUS, ROLE, AND PRESTIGE (554); REST DAYS AND HOLIDAYS (527); MUSICAL INSTRUMENTS (534); DANCE (535); PURIFICATION AND ATONEMENT (783)","Warren, Dennis M. 1975. “Techiman-Bono Of Ghana: An Ethnography Of An Akan Society.” Dubuque, Iowa: Kendall/Hunt Pub. Co.",http://ehrafworldcultures.yale.edu/document?id=fe12-054,55-56,Dennis M. Warren,Ian Skoggard ;1999,English,The Techiman-Bobo of Ghana,fe12-054,"Warren, Dennis M.",Monograph,54,"Techiman, Brong-Ahafo Region, Ghana",1964-1974,1969-1974,"Ethnographer-4,5","Dubuque, Iowa"
40,DEPENDENCY (736); LINEAGES (613); TEXTS TRANSLATED INTO ENGLISH (902); INHERITANCE (428); VERBAL ARTS (5310),"Yankah, Kwesi. 1989. “Proverb In The Context Of Akan Rhetoric: A Theory Of Proverb Praxis.” Sprichwörterforschung. Bern: P. Lang.",http://ehrafworldcultures.yale.edu/document?id=fe12-055,79,Kwesi Yankah,Ian Skoggard ;1999,English,The proverb in the context of Akan rhetoric,fe12-055,"Yankah, Kwesi",Monograph,55,Ghana,1979-1984,1979-1984,"Ethnographer-4,5",Bern ; New York
41,SOCIAL READJUSTMENTS TO DEATH (768); BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902); VERBAL ARTS (5310),"Yankah, Kwesi. 1989. “Proverb In The Context Of Akan Rhetoric: A Theory Of Proverb Praxis.” Sprichwörterforschung. Bern: P. Lang.",http://ehrafworldcultures.yale.edu/document?id=fe12-055,95-96,Kwesi Yankah,Ian Skoggard ;1999,English,The proverb in the context of Akan rhetoric,fe12-055,"Yankah, Kwesi",Monograph,55,Ghana,1979-1984,1979-1984,"Ethnographer-4,5",Bern ; New York
42,INGROUP ANTAGONISMS (578); VERBAL ARTS (5310),"Yankah, Kwesi. 1989. “Proverb In The Context Of Akan Rhetoric: A Theory Of Proverb Praxis.” Sprichwörterforschung. Bern: P. Lang.",http://ehrafworldcultures.yale.edu/document?id=fe12-055,97,Kwesi Yankah,Ian Skoggard ;1999,English,The proverb in the context of Akan rhetoric,fe12-055,"Yankah, Kwesi",Monograph,55,Ghana,1979-1984,1979-1984,"Ethnographer-4,5",Bern ; New York
43,CONVERSATION (521); VERBAL ARTS (5310),"Yankah, Kwesi. 1989. “Proverb In The Context Of Akan Rhetoric: A Theory Of Proverb Praxis.” Sprichwörterforschung. Bern: P. Lang.",http://ehrafworldcultures.yale.edu/document?id=fe12-055,133-134,Kwesi Yankah,Ian Skoggard ;1999,English,The proverb in the context of Akan rhetoric,fe12-055,"Yankah, Kwesi",Monograph,55,Ghana,1979-1984,1979-1984,"Ethnographer-4,5",Bern ; New York
44,INCORPOREAL PROPERTY (424); VERBAL ARTS (5310),"Yankah, Kwesi. 1989. “Proverb In The Context Of Akan Rhetoric: A Theory Of Proverb Praxis.” Sprichwörterforschung. Bern: P. Lang.",http://ehrafworldcultures.yale.edu/document?id=fe12-055,201-202,Kwesi Yankah,Ian Skoggard ;1999,English,The proverb in the context of Akan rhetoric,fe12-055,"Yankah, Kwesi",Monograph,55,Ghana,1979-1984,1979-1984,"Ethnographer-4,5",Bern ; New York
45,LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); PRAYERS AND SACRIFICES (782); ESCHATOLOGY (775),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,6-7,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
46,LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); PRAYERS AND SACRIFICES (782); ESCHATOLOGY (775),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,6-7,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
47,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
48,TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
49,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
50,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
51,TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
52,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
