indx,singers_sex,singers_leader,singers_dance,audience_dance,religious,trance,ceremony,informal,appear,restrict,mimic,nowords,child_by,child_for,compose,improv,clap,stomp,instrument,cite_text_manual,cite_url_manual,cite_page_manual
15,Male,0,0,0,1,0,0,0,0,0,0,.,0,0,.,0,1,.,0,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,420-421
16,Male,0,0,0,1,0,0,0,0,0,0,.,0,0,.,0,1,.,0,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,420-421
17,Male,0,0,0,1,0,0,0,0,0,0,.,0,0,.,0,1,.,0,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,420-421
18,Male,0,0,0,1,0,0,0,0,0,0,.,0,0,.,0,1,.,0,"Field, M. J. (Margaret Joyce). 1970. “Search For Security: An Ethno-Psychiatric Study Of Rural Ghana.” Norton Library. New York, N.Y.: W. W. Norton & Company, Inc.",http://ehrafworldcultures.yale.edu/document?id=fe12-027,420-421
19,.,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Gilbert, Michelle, Robert O. Lagacé, and Ian Skoggard. 2000. “Culture Summary: Akan.” New Haven, Conn.: HRAF.",http://ehrafworldcultures.yale.edu/document?id=fe12-000,10
20,Female,.,.,0,1,0,1,0,1,1,0,.,0,0,.,0,.,.,0,"Hayford, J. E. Casely (Joseph Ephraim Casely). 1970. “Gold Coast Native Institutions With Thoughts Upon A Healthy Imperial Policy For The Gold Coast And Ashanti.” Cass Library Of African Studies. Africana Modern Library. [London]: Cass.",http://ehrafworldcultures.yale.edu/document?id=fe12-045,91-92
21,Both sexes,.,1,1,1,0,1,0,0,0,0,.,1,0,.,0,.,.,0,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,155-157
22,Both sexes,.,.,.,1,0,1,0,0,1,0,.,0,1,.,0,.,.,0,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,207-209
23,Both sexes,.,.,.,1,0,1,0,0,1,0,.,0,1,.,0,.,.,0,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,207-209
24,.,.,1,1,1,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,159-160
25,.,.,1,1,1,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,159-160
26,.,.,1,1,1,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,159-160
27,Male,0,0,0,1,0,0,1,1,0,0,.,0,0,.,0,0,0,0,"Rattray, R. S. (Robert Sutherland). 1923. “Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-001,201-202
28,Female,0,0,0,1,0,0,1,0,0,0,.,1,0,.,0,0,0,0,"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-002,70-71
29,.,0,.,.,1,0,0,.,0,0,0,.,0,0,.,0,.,.,1,"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-002,143
30,Female,0,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,1,"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-002,282
31,.,.,0,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,1,"Rattray, R. S. (Robert Sutherland). 1927. “Religion And Art In Ashanti.” Oxford, England: Clarendon Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-002,283
32,Female,.,1,.,0,0,1,0,0,1,0,.,0,0,.,1,.,.,0,"Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.",http://ehrafworldcultures.yale.edu/document?id=fe12-042,23-25
33,Female,.,1,.,0,0,1,0,0,1,0,.,0,0,.,1,.,.,0,"Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.",http://ehrafworldcultures.yale.edu/document?id=fe12-042,23-25
34,Female,.,1,.,0,0,1,0,0,1,0,.,0,0,.,1,.,.,0,"Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.",http://ehrafworldcultures.yale.edu/document?id=fe12-042,23-25
35,Female,.,1,.,0,0,1,0,0,1,0,.,0,0,.,1,.,.,0,"Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.",http://ehrafworldcultures.yale.edu/document?id=fe12-042,23-25
36,Female,0,1,.,0,0,1,0,0,0,0,.,0,0,.,1,1,.,1,"Sarpong, Peter. 1977. “Girls’ Nubility Rites In Ashanti.” Tema, Ghana: Ghana Pub. Corp.",http://ehrafworldcultures.yale.edu/document?id=fe12-042,23
37,Female,0,0,0,1,0,1,0,0,1,0,.,0,0,.,0,0,0,0,"Warren, Dennis M. 1986. “Akan Of Ghana: An Overview Of The Ethnographic Literature.” Accra: Pointer Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-029,57-59
38,.,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,1,"Warren, Dennis M. 1986. “Akan Of Ghana: An Overview Of The Ethnographic Literature.” Accra: Pointer Ltd.",http://ehrafworldcultures.yale.edu/document?id=fe12-029,"57, 59"
39,Both sexes,0,1,1,0,0,1,0,0,0,0,.,0,0,.,0,1,1,1,"Warren, Dennis M. 1975. “Techiman-Bono Of Ghana: An Ethnography Of An Akan Society.” Dubuque, Iowa: Kendall/Hunt Pub. Co.",http://ehrafworldcultures.yale.edu/document?id=fe12-054,55-56
40,.,.,.,.,0,0,1,0,0,0,0,.,0,1,.,0,.,.,0,"Yankah, Kwesi. 1989. “Proverb In The Context Of Akan Rhetoric: A Theory Of Proverb Praxis.” Sprichwörterforschung. Bern: P. Lang.",http://ehrafworldcultures.yale.edu/document?id=fe12-055,79
41,Female,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Yankah, Kwesi. 1989. “Proverb In The Context Of Akan Rhetoric: A Theory Of Proverb Praxis.” Sprichwörterforschung. Bern: P. Lang.",http://ehrafworldcultures.yale.edu/document?id=fe12-055,95-96
42,Male,.,.,.,0,0,0,.,0,0,0,.,0,0,.,0,.,.,0,"Yankah, Kwesi. 1989. “Proverb In The Context Of Akan Rhetoric: A Theory Of Proverb Praxis.” Sprichwörterforschung. Bern: P. Lang.",http://ehrafworldcultures.yale.edu/document?id=fe12-055,97
43,Both sexes,0,0,0,0,0,.,1,0,0,0,.,0,0,0,0,0,0,0,"Yankah, Kwesi. 1989. “Proverb In The Context Of Akan Rhetoric: A Theory Of Proverb Praxis.” Sprichwörterforschung. Bern: P. Lang.",http://ehrafworldcultures.yale.edu/document?id=fe12-055,133-134
44,Male,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Yankah, Kwesi. 1989. “Proverb In The Context Of Akan Rhetoric: A Theory Of Proverb Praxis.” Sprichwörterforschung. Bern: P. Lang.",http://ehrafworldcultures.yale.edu/document?id=fe12-055,201-202
45,.,.,.,.,1,0,.,.,0,0,0,.,0,1,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,6-7
46,.,.,.,.,1,0,.,.,0,0,0,.,0,1,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,6-7
47,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
48,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,13
49,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
50,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
51,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,13
52,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
53,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
54,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
55,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
56,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
57,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
58,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
59,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
60,Female,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13
61,.,.,.,.,1,0,1,.,0,0,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,21-22
62,Female,0,.,.,1,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,22-23
63,Female,.,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,43
64,Female,0,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,37-38
65,Female,0,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,37-38
66,Female,0,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,69-70
67,Female,0,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,67-68
68,Female,0,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,70-71
69,Female,0,.,.,1,0,1,0,0,0,0,.,0,0,1,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,114-116
70,Female,0,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,113-114
71,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,116-117
72,Female,0,.,.,1,0,1,0,0,0,0,.,1,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,117
73,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,119-121
74,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,119-121
75,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,119-121
76,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,119-121
77,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,119-121
78,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,121-122
79,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,121-122
80,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125
81,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125
82,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125
83,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125
84,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125
85,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125
86,Female,0,0,0,1,0,1,0,0,0,0,.,0,0,0,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,127-128
87,Both sexes,0,0,1,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,129
88,Male,0,0,0,1,0,1,0,0,0,0,.,0,0,1,0,0,0,0,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,199
89,.,.,.,.,1,0,1,.,0,0,0,.,0,0,.,0,.,.,0,"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,264
90,.,1,.,.,0,0,0,1,0,1,0,.,0,0,.,0,.,.,0,"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270
91,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,1,"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270
92,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,1,"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270
93,.,1,.,.,1,0,1,0,0,0,0,.,0,0,.,0,.,.,1,"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270
94,.,.,.,.,0,0,.,.,0,0,0,.,0,0,0,0,.,.,0,"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270
95,.,.,.,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,0,"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270
96,.,.,.,.,1,0,1,.,0,0,0,.,0,0,.,0,.,.,0,"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,"269, 270"
97,Both sexes,1,1,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,1,"Messing, Simon D. (Simon David), and M. Lionel (Marvin Lionel) Bender. 1985. “Highland Plateau Amhara Of Ethiopia.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.",http://ehrafworldcultures.yale.edu/document?id=mp05-020,81
98,.,.,.,.,1,0,1,0,0,0,0,.,0,0,1,1,.,.,0,"Messing, Simon D. (Simon David), and M. Lionel (Marvin Lionel) Bender. 1985. “Highland Plateau Amhara Of Ethiopia.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.",http://ehrafworldcultures.yale.edu/document?id=mp05-020,165
99,Female,0,0,.,1,0,1,.,1,0,0,.,0,0,.,0,1,.,0,"Messing, Simon D. (Simon David), and M. Lionel (Marvin Lionel) Bender. 1985. “Highland Plateau Amhara Of Ethiopia.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.",http://ehrafworldcultures.yale.edu/document?id=mp05-020,169
100,Both sexes,.,.,.,1,0,1,1,0,1,0,.,0,0,.,0,.,.,1,"Messing, Simon D. (Simon David), and M. Lionel (Marvin Lionel) Bender. 1985. “Highland Plateau Amhara Of Ethiopia.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.",http://ehrafworldcultures.yale.edu/document?id=mp05-020,170
101,Both sexes,.,.,.,0,0,0,1,0,0,0,.,1,0,0,0,.,.,0,"Messing, Simon D. (Simon David), and M. Lionel (Marvin Lionel) Bender. 1985. “Highland Plateau Amhara Of Ethiopia.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.",http://ehrafworldcultures.yale.edu/document?id=mp05-020,209
102,Male,.,1,.,0,0,1,.,1,1,1,.,0,0,0,0,.,1,0,"Messing, Simon D. (Simon David), and M. Lionel (Marvin Lionel) Bender. 1985. “Highland Plateau Amhara Of Ethiopia.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.",http://ehrafworldcultures.yale.edu/document?id=mp05-020,258
