id_nhs,meanest1,meancilo1,meancihi1,meanpval1,sdest1,sdcilo1,sdcihi1,meanest2,meancilo2,meancihi2,meanpval2,sdest2,sdcilo2,sdcihi2,meanest3,meancilo3,meancihi3,meanpval3,sdest3,sdcilo3,sdcihi3,nhs_region,hraf_region,hraf_subregion,hraf_subsistence,ncites,npassages
NHS-C016,-.095132872,-.41178659,.21551707,.56058335,.739092025108247,.561167720768822,.918082844485158,.179657,-.14104256,.51217353,.2755,.8092240274818771,.60125259012486,1.0164692325493,.13701499,-.20360091,.47274658,.43175,.916370663046509,.698095910093981,1.11220727021489,NHS-R16,Asia,North Asia,pastoralists,7,46
NHS-C017,.10289443,-.29466185,.49291825,.60041666,.919066394112394,.677235095773066,1.13241995986763,-.015976004,-.42012134,.38653177,.93258333,.852016544708409,.625523249418883,1.07460704539761,.064842515,-.33675596,.48283607,.75833333,.837949733981075,.624676290370425,1.10686554553312,NHS-R09,Africa,Eastern Africa,intensive agriculturalists,12,30
NHS-C022,-.17408109,-.38868389,.036095239,.10483333,.5780544725708729,.471069497714598,.6900892382920371,.30699214,.087364018,.5294764,.0060000001,.608384360006393,.481725042191352,.755458081856316,-.41132981,-.63591033,-.186718,.00025000001,.7147364893478459,.561853004755414,.837148351310582,NHS-R28,South America,Southern South America,hunter-gatherers,4,89
NHS-C023,.71077627,.43519321,.98448968,0,1.17483359176495,.89122979914942,1.35456170763553,-.088405482,-.37518212,.1870054,.54216665,.995480565815047,.796606317828332,1.16376261840991,.30290908,.029891286,.59057206,.028083334,.855561275022257,.687131692208322,1.02321572871952,NHS-R26,Europe,Southeastern Europe,intensive agriculturalists,13,65
NHS-C024,.14730753,-.041873831,.34436858,.12774999,1.00125713097464,.8279390831394799,1.1439402020954,.076058671,-.12737222,.27829412,.45875001,.817306858885867,.658952354266692,.941241700983401,-.33333811,-.5371533,-.13939734,.00050000002,.874998631863289,.710307669121107,1.02599923661024,NHS-R25,Asia,Southeast Asia,horticulturalists,5,114
NHS-C027,-.14241008,-.59495121,.31843516,.53583336,.697427954566857,.473488734058059,.929102929256225,-.25454006,-.72669059,.21877851,.28891668,.829561450529714,.565323994745628,1.11270676658083,.11446502,-.36060962,.60018766,.63883334,.742613094825899,.50333510292164,1.01679626008331,NHS-R24,Asia,South Asia,hunter-gatherers,6,20
NHS-C029,-.43318206,-.83634561,-.026843086,.037333332,.7880088759392671,.562735006640811,1.00734971695432,-.23636219,-.67387736,.19524731,.2825,1.14796562219718,.82768768591764,1.43361139869605,.66848737,.25635314,1.1055073,.0014166667,1.15989399362409,.885419790832299,1.41702285529272,NHS-R10,South America,Eastern South America,intensive agriculturalists,5,26
NHS-C032,-.30715114,-.77325422,.14505696,.18666667,.774886032393018,.5591435828814471,1.00969925269198,-.15722014,-.64032984,.32841012,.5201667,.881489968097498,.599198747785826,1.16030570695405,-.019077918,-.50832307,.4575054,.94266665,.933859818046473,.697938618549516,1.18455313562931,NHS-R05,Africa,Central Africa,horticulturalists,10,20
NHS-C033,-.16231851,-.50973684,.17420314,.34799999,.822973232469517,.58321456709941,1.01425416337853,.012697334,-.35067752,.37372971,.94599998,.883497543217731,.674572071158428,1.10584333287315,-.27612141,-.63995397,.082841955,.13291667,.856969511166059,.650957733395956,1.09555228117274,NHS-R10,South America,Eastern South America,other subsistence combinations,5,35
NHS-C036,-.23724407,-.35677716,-.11893826,0,.74174948609064,.618116580951224,.823582639065207,-.049761709,-.17590851,.072445944,.43158334,.839295633096202,.693355775475867,.936177463674513,-.28335717,-.40746415,-.155573,0,.777878488509926,.630755289370566,.884906046676261,NHS-R21,North America,Plains and Plateau,hunter-gatherers,19,315
NHS-C037,.14999922,-.270509,.57677042,.48091668,.802094378479814,.572863986514943,1.01416118615684,.35253611,-.080789328,.78270346,.11008333,.883145460451588,.5951748851108269,1.13079630720099,.26283073,-.16369091,.70497411,.23383333,.80140309813333,.5514665105661199,1.05925217366245,NHS-R15,Middle East,Middle East,pastoralists,2,27
NHS-C042,.16006745,-.035277441,.3580645,.10833333,.784450237611788,.612622788770765,.904379092497997,.39954352,.18636066,.61994153,.000083333332,.851901095226396,.692599115866563,1.0042418208276,-.13863702,-.34787798,.070025451,.18908334,.884742442993903,.720216334940262,1.02580495040811,NHS-R02,North America,Arctic and Subarctic,hunter-gatherers,13,106
NHS-C048,-.14511363,-.4235867,.12918942,.30516666,.806596819963929,.613378107343036,.974461726884968,.17611857,-.11530641,.46760789,.23708333,.926232391177345,.712974456598261,1.14918528881207,.28923211,.016629322,.57037705,.037916668,.866565714682573,.697381969773666,1.08925873856479,NHS-R30,Africa,Western Africa,horticulturalists,15,63
NHS-C050,.21881649,-1.2647269,1.6903043,.76758331,.489646579718332,.0366783383332703,1.30415487728262,.35656351,-1.1881361,1.8593366,.63891667,.490109280656153,.0223778910175145,1.32695299497182,.090108149,-1.3893927,1.5972039,.91425002,.519218610666749,.013233457304171,1.43647419684333,NHS-R24,Asia,South Asia,intensive agriculturalists,1,2
NHS-C052,-.25486335,-.74062788,.2205438,.29708335,.73555661662592,.511431112614444,.931070309278331,-.36689636,-.88435173,.14221694,.154,.873519367463777,.628718042177652,1.1090796590775,.52123868,.024083026,1.0328832,.03875,.868902844442625,.608336034923917,1.16952688749856,NHS-R22,Oceania,Polynesia,other subsistence combinations,4,17
NHS-C055,-.72719091,-2.6078684,1.1559234,.44725001,,,,-.74855876,-2.814667,1.3027357,.47258332,,,,-.56017864,-2.5466235,1.4350464,.57491666,,,,NHS-R12,Middle America and the Caribbean,Maya Area,horticulturalists,1,1
NHS-C056,-.02616558,-.24324971,.18317832,.81608331,.78735520939613,.636408400247485,.929473229647383,.25489017,.037068214,.48020098,.023416666,.8233824902670051,.65309642514346,.973825820748615,.5162459,.29933801,.73878837,0,.9372048270583609,.758705899654717,1.08975587977119,NHS-R09,Africa,Eastern Africa,pastoralists,16,101
NHS-C058,.088249557,-.14690059,.33106184,.47150001,.908813265105608,.717846717627147,1.09191253227227,.15891816,-.074847788,.39938682,.18708333,.87546991965396,.694637006213549,1.0259142805574,-.24787603,-.48891971,-.0066581466,.045083333,.950963235346144,.7753527754299649,1.09812711459711,NHS-R21,North America,Plains and Plateau,hunter-gatherers,5,84
NHS-C059,.48128048,.25242928,.72229207,0,.944265121443291,.752027508240421,1.09546470251659,-.086081021,-.32290322,.15659806,.48233333,.816979510194888,.645304241523232,.980742696781384,.34987512,.090285279,.60283089,.0077499999,.772725761077144,.59342831057927,.918138641550493,NHS-R17,Africa,Northern Africa,pastoralists,6,77
NHS-C064,.6374557,.24387375,1.0361512,.0011666666,1.08621779810207,.848807171251969,1.33000883927031,-.069197416,-.48111099,.33529049,.74183333,1.02737394929445,.775755912700906,1.2572271716422,-.085755125,-.4973706,.32098913,.67541665,.807753962850789,.599024478574343,1.01708464663079,NHS-R14,Oceania,Micronesia,other subsistence combinations,3,28
NHS-C066,-.40996248,-.63917762,-.19144753,.00025000001,.922809211834297,.752384999065344,1.06272337793448,-.20071076,-.45426816,.048418865,.117,.851708720399116,.694441555325165,.9773674461509611,-.22668274,-.46738419,.013560073,.06491667,1.01901800001238,.81913493849606,1.18609664634461,NHS-R30,Africa,Western Africa,other subsistence combinations,10,85
NHS-C067,-.21041037,-.3376888,-.086294562,.001,.732002523604609,.594098473661272,.81277618373886,-.21194577,-.3420268,-.087233573,.00075000001,.869535709963229,.70972865794048,.987607867085241,-.18188186,-.31397742,-.054618403,.0043333331,.756836918355413,.612872444817918,.855250279323465,NHS-R29,North America,Southwest and Basin,intensive agriculturalists,26,288
NHS-C068,-.17894667,-.83312505,.46825394,.58233333,.803332847213948,.459969229589324,1.23745334351995,-.21336097,-.90165418,.45366746,.53525001,.725132430336987,.41449412469702,1.06236790547968,.41138253,-.22456434,1.0551533,.20191666,.812477736997388,.483660426935562,1.16090558220316,NHS-R27,Africa,Southern Africa,other subsistence combinations,5,11
NHS-C070,-.26592484,-.39201066,-.14434829,.000083333332,.8112076797477,.658067050633711,.9037100362527209,-.19190462,-.32834187,-.052484531,.0069166669,.934621340732956,.77726497190327,1.04022410338832,.14306924,.014307788,.26995715,.030166667,.934005308610276,.766151307953399,1.04753645949955,NHS-R21,North America,Plains and Plateau,primarily hunter-gatherers,10,288
NHS-C073,.21333061,.067890614,.36373779,.0041666669,.797764545230028,.654873398013429,.898440270491715,.34796801,.19417696,.50425225,0,.846766865011083,.698205097037547,.960988187970781,.27335477,.11457779,.42951161,.00033333333,.81312939306342,.669204143108189,.926020254915764,NHS-R30,Africa,Western Africa,horticulturalists,11,211
NHS-C074,-.41591266,-.74135178,-.10089616,.0098333331,.732914592879747,.56389489294399,.90553607286703,-.37160668,-.70292997,-.052602205,.021916667,.917801017379743,.717023734933776,1.1216683426827,-.26045093,-.56896049,.05007254,.1005,.872460046309371,.70725151480479,1.04329935760993,NHS-R20,South America,Northwestern South America,horticulturalists,7,46
NHS-C075,.079827353,-.44171053,.58612341,.75441664,.881384320198076,.631480853619822,1.16045139849467,.14813443,-.37892827,.68472314,.58191669,.900656695675241,.620651234274858,1.23985796448605,-.06491401,-.62817442,.49116591,.81583333,.804253950627018,.531486065457641,1.13627734848179,NHS-R08,Asia,East Asia,intensive agriculturalists,8,16
NHS-C077,-.16733621,-.36710951,.034517743,.10058333,.7926638433498689,.635008488735758,.9144015757188561,-.047421187,-.25312504,.16335794,.65283334,.860722679887611,.699824514430872,1.01017276058216,.026856167,-.18687235,.24082997,.80733335,.816899140003478,.637934535087517,.97301274458067,NHS-R03,Oceania,Australia,hunter-gatherers,13,114
NHS-C078,.053020168,-.29624033,.39671779,.7610833,.8331017982703151,.6436948423077959,1.02637037738428,.34686348,-.012162156,.70642358,.059583332,.805009756194174,.612794225250859,.991819450096511,.1184536,-.22899564,.47360408,.52116668,1.02368239241591,.790575499889738,1.24994966197848,NHS-R04,Europe,British Isles,other subsistence combinations,9,38
NHS-C079,-.19419441,-.63516188,.24209383,.38658333,.757188983401659,.548628275647366,.973216400805328,-.22967063,-.6900211,.23017776,.32300001,.802750726870254,.560605244634146,1.04690409037385,.10559881,-.34520897,.55836713,.64908332,.866452826850063,.624347508196805,1.10211090911044,NHS-R09,Africa,Eastern Africa,pastoralists,4,21
NHS-C080,-.11951064,-.25958553,.019966561,.098083332,.73889957958985,.621438354611581,.837976266968671,.0026673849,-.14750893,.15063597,.96516669,.882513965098733,.720114158631614,.999556048436781,-.052069541,-.20666337,.095861793,.50183332,.971763690024426,.812353498979179,1.09994806010736,NHS-R19,North America,Northwest Coast and California,hunter-gatherers,17,207
NHS-C081,-.13160433,-.38433674,.11934209,.29925001,.762138683322247,.594890821220573,.890662186060307,.20648083,-.052119058,.47336,.12,.776968487812367,.622596636530426,.927389732156336,-.33890799,-.61677057,-.075937897,.010833333,.704391884542617,.5617235495469231,.844507022297445,NHS-R25,Asia,Southeast Asia,horticulturalists,12,62
NHS-C082,-.11496395,-.27029571,.03775375,.1435,.753363847485595,.59973914681156,.853032272403516,.29482073,.12197265,.47225609,.001,.792622497857534,.648779307956286,.897792286421547,-.37653169,-.54467148,-.20965794,0,.900759080025516,.72046964815116,1.028476019705,NHS-R06,Middle America and the Caribbean,Central America,horticulturalists,18,184
NHS-C083,.50122303,.36060432,.63696575,0,1.13523466461534,.9341171167457,1.26960750498022,.16863088,.026901394,.30687365,.019166667,.821107106890803,.675833266377778,.926072985198486,.57651275,.41898364,.72044921,0,.872565016824429,.714405047724444,.980578283957895,NHS-R24,Asia,South Asia,intensive agriculturalists,7,310
NHS-C084,.9063381,.69889158,1.0845863,0,1.19907974821862,.968674845681629,1.35182128597144,-.53607929,-.73366988,-.3355692,0,1.08638445995646,.869444908588721,1.22778347800873,-.25420034,-.45478609,-.047259431,.017166667,.833282317689239,.694084526438281,.963314370395802,NHS-R30,Africa,Western Africa,intensive agriculturalists,11,209
NHS-C085,-.097720765,-.3619279,.16220738,.47025001,.774020397925036,.6079970150895,.960458723898762,-.23832223,-.5176515,.033360586,.086499996,1.15088560452912,.907696517853042,1.33008147457466,-.10301597,-.3835606,.18354633,.47416666,.788593952129727,.6375365269486239,.942208327839723,NHS-R25,Asia,Southeast Asia,intensive agriculturalists,7,59
NHS-C086,-.13212003,-.59115803,.31898952,.56933331,.809498079192836,.611759297606948,1.02224588881508,-.21908927,-.71054167,.27174982,.375,.898449305867652,.6299057905929361,1.16819936816882,-.14944457,-.61396205,.3248795,.53250003,.869355818664619,.612500942725267,1.11610021453736,NHS-R18,Middle America and the Caribbean,Northern Mexico,agro-pastoralists,3,20
NHS-C087,.81320393,-.12451892,1.7712773,.086750001,.594880599965771,.213517115416262,1.09602230942481,-.70703322,-1.711261,.30196241,.16891667,.984112462622042,.50234643260047,1.49488976826654,.73249924,-.27770188,1.7507234,.15800001,.770079042935235,.276121277511474,1.30855752022061,NHS-R08,Asia,East Asia,intensive agriculturalists,1,4
NHS-C088,-.26437068,-1.427838,.90257305,.65166664,.64827906675743,.114168657889329,1.3698396205941,.002462711,-1.2343886,1.2264295,.99916667,.615361598820152,.122946238654589,1.2777873503788,.25686845,-1.0191928,1.5304844,.68516666,.74085568975686,.135553077687039,1.48019829798377,NHS-R17,Africa,Northern Africa,intensive agriculturalists,3,3
NHS-C091,.06302169,-.51856977,.6496473,.83258331,.579525959157052,.340074362501494,.916481455917271,.21061285,-.43227282,.86921972,.52666664,.610773312210607,.348037152524522,.881727722141214,-.010128572,-.65905106,.63495749,.97683334,.670423015929966,.387638363180583,.994473854958553,NHS-R24,Asia,South Asia,other subsistence combinations,3,11
NHS-C092,-.13435906,-.36368921,.090198487,.24416667,.854972202542265,.694892999045797,1.01163615004209,-.156395,-.39766967,.085909441,.20550001,.854264349413447,.681037255794778,1.003084096597,.072811291,-.15890117,.31585395,.55183333,.900378785159468,.720550043198933,1.05402728828028,NHS-R05,Africa,Central Africa,hunter-gatherers,5,83
NHS-C095,.071933255,-.14229068,.29215276,.52508336,.785528400157793,.583492299911662,.930077148634519,.17877811,-.062260903,.42395774,.14191666,.9279227084873169,.728905998832417,1.08458575738124,.1666459,-.074437238,.41092134,.17841667,.848172650473356,.6560255335048391,1.02428677298477,NHS-R02,North America,Arctic and Subarctic,hunter-gatherers,10,91
NHS-C097,-.43650475,-.80060905,-.076341033,.016916666,.748276424269318,.539766082585184,.946573915833146,-.42891702,-.8335855,-.038858283,.029750001,.879717790368309,.648619161975124,1.08723746291705,-.38988864,-.76908547,-.0069828015,.044666667,.894145483534861,.717740294015384,1.10332022800817,NHS-R28,South America,Southern South America,primarily hunter-gatherers,4,33
NHS-C098,.1620145,-.34474918,.66970462,.53633332,.984409547561261,.725278017630495,1.3385984202923,-.91026115,-1.488887,-.37205204,.00091666664,.963461469434864,.686159369543618,1.36372670563091,-.018056011,-.55761552,.51014048,.95316666,.812630626930969,.54141807900868,1.14011707608537,NHS-R07,South America,Central Andes,horticulturalists,7,16
NHS-C100,.3965745,.03018686,.76967806,.034333333,1.01896668202043,.784627708712082,1.23256673896862,.2106631,-.16232815,.59794992,.27500001,.988462726783641,.762923064124059,1.24043393132417,.14778204,-.21333204,.51765162,.42433333,.8314269738567009,.644984931912701,1.03690328211066,NHS-R16,Asia,North Asia,other subsistence combinations,6,34
NHS-C108,-.097820081,-.33829051,.13993743,.4145,.797645853301068,.65147083815147,.937142711034863,.27174932,.027631449,.5179652,.028416667,.847860204410512,.672047949872462,1.0005579668908,-.80477059,-1.0606548,-.55781394,0,.86050148956596,.697633076249757,1.00032631896166,NHS-R30,Africa,Western Africa,horticulturalists,14,88
NHS-C111,-.26754472,-.49685305,-.045959584,.016666668,.878285919420276,.71156810535325,1.01873770096486,.083936207,-.15232778,.32031664,.4765,1.02161781011595,.808796872975086,1.19941500647518,-.4646917,-.71234214,-.21986237,.000083333332,1.02280806951309,.810998811148924,1.18625117300005,NHS-R10,South America,Eastern South America,hunter-gatherers,9,85
NHS-C114,-.030728713,-.43381995,.38346016,.86891669,1.05396836484359,.7829886225382791,1.3020680500938,.0065727532,-.42839313,.43498051,.97483331,.833897945312421,.55587913369209,1.08471687505599,-.14549345,-.58337235,.28045419,.50400001,.817880790373668,.6256015846258139,1.04676913189074,NHS-R09,Africa,Eastern Africa,intensive agriculturalists,2,24
NHS-C115,-.2234063,-.50136381,.0545035,.11733333,.719115173213391,.5512372116088901,.877634163996566,-.23474737,-.53875053,.061890781,.12208334,1.0106975247275,.80186493405493,1.21418614787895,.21921892,-.077908464,.51635879,.14891666,.883544309737873,.6826796834947449,1.05691794077058,NHS-R01,South America,Amazon and Orinoco,other subsistence combinations,9,51
NHS-C116,-.055344671,-.46251845,.35297942,.78724998,.791770134217296,.597914377454096,.990604406543061,-.18501428,-.61070883,.25526345,.39625001,.911993014666343,.667313904031915,1.1307740986559,-.30531701,-.74121296,.12020585,.15916666,.8286155333051199,.603727811116722,1.08018368481229,NHS-R01,South America,Amazon and Orinoco,horticulturalists,5,22
